Distance_(microns),Gray_Value
0.00000,116.969
0.04000,136.962
0.08000,109.450
0.12000,56.754
0.16000,9.660
0.20000,12.861
0.24000,58.569
0.28000,51.818
0.32000,51.904
0.36000,95.502
0.40000,115.110
0.44000,128.539
0.48000,143.158
0.52000,223.716
0.56000,454.519
0.60000,585.884
0.64000,328.638
0.68000,40.458
0.72000,5.852
0.76000,11.912
0.80000,6.353
0.84000,27.707
0.88000,43.330
0.92000,38.137
0.96000,45.676
1.00000,25.389
1.04000,10.618
1.08000,26.757
1.12000,23.958
1.16000,31.659
1.20000,48.675
1.24000,39.253
1.28000,40.856
