Distance_(microns),Gray_Value
0.00000,34.719
0.04000,90.805
0.08000,103.501
0.12000,63.148
0.16000,23.804
0.20000,21.088
0.24000,105.490
0.28000,244.891
0.32000,380.000
0.36000,656.866
0.40000,803.875
0.44000,527.383
0.48000,187.338
0.52000,102.103
0.56000,140.228
0.60000,155.745
0.64000,101.960
0.68000,31.191
0.72000,14.205
0.76000,14.652
0.80000,1.893
0.84000,78.533
0.88000,324.438
0.92000,462.276
0.96000,254.345
1.00000,23.054
1.04000,29.690
1.08000,43.131
1.12000,22.666
1.16000,57.552
1.20000,75.800
1.24000,88.161
1.28000,106.043
1.32000,89.899
1.36000,72.094
1.40000,67.944
