,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,4,546.05,953.25,5.700651851,4.388914271,20,"(544, 951, 549, 956)",26632.023,5.044783061,0.23555364,0.227272727,0.476194782,0.22676147,1
0,7,553.125,990.125,3.464101615,2.738612788,8,"(552, 989, 555, 992)",10660.568,3.101357201,0.09429008,0.090909091,0.292747993,0.085701387,1
0,11,593.7241379,948.6551724,6.538990015,5.600258366,29,"(591, 946, 597, 952)",38553.203,6.069624191,0.34099352,0.329545455,0.572933134,0.328252376,1
0,17,611.6470588,833.4705882,4.957954707,4.338609156,17,"(610, 832, 615, 836)",22193.35,4.648281932,0.19629467,0.193181818,0.438767649,0.192517049,1
0,20,621.6388889,834.9722222,7.625096917,5.979893944,36,"(619, 832, 625, 839)",48728.7,6.80249543,0.43099326,0.409090909,0.642111423,0.412307079,1
0,21,625.7045455,964.4545455,7.975955185,7.112717516,44,"(622, 961, 630, 969)",55643.25,7.54433635,0.49215072,0.5,0.712136391,0.50713824,1
0,29,662.5333333,834.6888889,8.464802146,6.884978365,45,"(659, 831, 667, 840)",61945.75,7.674890256,0.5478948,0.511363636,0.724459833,0.524842049,1
0,31,674.0526316,759.9210526,7.12764506,6.743417843,38,"(671, 757, 678, 764)",50674.418,6.935531452,0.44820264,0.431818182,0.65466916,0.428591709,1
0,32,675.3333333,863.25,4.167620294,3.631321611,12,"(674, 862, 678, 866)",14685.858,3.899470952,0.12989277,0.136363636,0.368084752,0.135486384,1
0,33,680.9659091,878.5795455,11.31956341,9.868333861,88,"(676, 874, 687, 884)",113061.4,10.59394863,1,1,1,1,1
0,34,681.6666667,753.75,8.904083813,6.971813275,48,"(678, 750, 687, 758)",63998.266,7.937948544,0.56604874,0.545454545,0.749290828,0.561436745,1
0,36,691.1818182,819.1818182,3.813850357,3.67254725,11,"(690, 818, 694, 822)",14551.124,3.743198804,0.12870108,0.125,0.353333675,0.124844686,1
0,37,692.2857143,713,3.023715784,2.799416849,7,"(691, 712, 694, 715)",8599.233,2.911566316,0.07605808,0.079545455,0.274832965,0.075533159,1
0,38,695.2954545,983.8409091,8.269500791,6.848694246,44,"(692, 980, 699, 988)",54517.45,7.559097518,0.4821933,0.5,0.71352975,0.509124704,1
0,40,726.6,874.4,4.618802154,4.026578365,15,"(725, 873, 729, 877)",19469.467,4.322690259,0.1722026,0.170454545,0.408033908,0.16649167,1
0,44,757.875,716.875,3.464101615,2.738612788,8,"(757, 716, 760, 719)",9591.717,3.101357201,0.08483636,0.090909091,0.292747993,0.085701387,1
0,48,788.9047619,840.047619,5.651390481,4.847620793,21,"(786, 838, 792, 843)",26237.66,5.249505637,0.23206559,0.238636364,0.495519265,0.245539342,1
0,49,811,821.5,3.464101615,2.828427125,8,"(810, 820, 813, 824)",9542.473,3.14626437,0.0844008,0.090909091,0.296986938,0.088201242,1
0,53,849.4150943,554.6037736,8.896695382,7.560749831,53,"(846, 551, 854, 559)",81969.05,8.228722607,0.72499585,0.602272727,0.776738013,0.60332194,1
0,54,870.74,659.54,8.785546618,7.218515819,50,"(867, 656, 875, 664)",64493.508,8.002031218,0.5704291,0.568181818,0.755339817,0.570538239,1
0,2,570.5,731,4.898979486,4,16,"(569, 729, 573, 734)",18901.652,4.449489743,0.1645349,0.172043011,0.407001641,0.165650336,2
0,3,581.5818182,726.5272727,9.372635327,7.456429114,55,"(578, 723, 587, 731)",74594.3,8.41453222,0.64932764,0.591397849,0.769690149,0.592422926,2
0,6,682.4722222,688.8333333,7.21145211,6.49652484,36,"(679, 686, 686, 693)",50937.844,6.853988475,0.44340318,0.387096774,0.626944823,0.393059811,2
0,8,684.9310345,702.0344828,6.861713713,5.432441002,29,"(682, 700, 689, 706)",34489.508,6.147077358,0.3002239,0.311827957,0.56228258,0.3161617,2
0,9,684.8285714,731.0857143,6.958141812,6.478266434,35,"(682, 728, 689, 735)",46960.133,6.718204123,0.40877807,0.376344086,0.61452442,0.377640263,2
0,12,697.9166667,701.0833333,5.773502692,5.270462767,24,"(696, 699, 701, 704)",34244.773,5.521982729,0.29809353,0.258064516,0.505104217,0.25513027,2
0,13,705.7894737,624,5.191085476,4.602781286,19,"(704, 622, 709, 627)",22486.693,4.896933381,0.19574192,0.204301075,0.447929996,0.200641282,2
0,14,707.9583333,701.875,6.235516441,4.848424858,24,"(706, 699, 711, 705)",30727.941,5.54197065,0.26748025,0.258064516,0.506932543,0.256980603,2
0,18,727,770.7142857,3.023715784,2.799416849,7,"(726, 770, 729, 773)",9612.769,2.911566316,0.08367713,0.075268817,0.26632543,0.070929235,2
0,20,746.4179104,669.1343284,10.22624623,8.438392476,67,"(742, 665, 751, 675)",94696.23,9.332319356,0.8243107,0.720430108,0.853641544,0.728703886,2
0,21,749.3225806,691.1182796,11.40904075,10.45568553,93,"(744, 686, 755, 697)",114879.29,10.93236314,1,1,1,1,2
0,22,752,316.7142857,3.023715784,2.799416849,7,"(751, 316, 754, 319)",7730.5566,2.911566316,0.06729287,0.075268817,0.26632543,0.070929235,2
0,24,767.5,654,4.898979486,4,16,"(766, 652, 770, 657)",21373.113,4.449489743,0.18604845,0.172043011,0.407001641,0.165650336,2
0,27,850.3076923,545.8461538,4.673537029,3.631478685,13,"(849, 544, 853, 549)",15879.965,4.152507857,0.13823175,0.139784946,0.379836253,0.144275579,2
0,28,853.4137931,585.5517241,6.587153269,5.536659292,29,"(851, 583, 857, 589)",37960.758,6.06190628,0.3304404,0.311827957,0.554491852,0.307461213,2
0,4,346.2857143,291,3.023715784,2.799416849,7,"(345, 290, 348, 293)",5139.7617,2.911566316,0.07986422,0.1,0.305754709,0.093485942,3
0,5,376.7173913,223.1956522,8.626751872,6.791433986,46,"(373, 220, 381, 227)",39745.89,7.709092929,0.61759174,0.657142857,0.809561319,0.65538953,3
0,9,445.9714286,174.0142857,10.56380236,8.48130947,70,"(441, 170, 452, 179)",64356.254,9.522555915,1,1,1,1,3
0,10,444.92,248.44,6.22913229,5.019752076,25,"(443, 246, 448, 252)",16805.945,5.624442183,0.26113927,0.357142857,0.590644175,0.348860542,3
0,12,483.6,207.6,4.618802154,4.026578365,15,"(482, 206, 486, 210)",11852.801,4.322690259,0.1841748,0.214285714,0.453942229,0.206063547,3
0,15,502.9473684,152.6315789,8.91557595,8.291717515,57,"(499, 149, 508, 158)",45221.46,8.603646733,0.7026739,0.814285714,0.903501834,0.816315564,3
0,16,522.7142857,224,3.023715784,2.799416849,7,"(522, 223, 525, 226)",5823.9473,2.911566316,0.09049544,0.1,0.305754709,0.093485942,3
0,18,538.5,149,4.898979486,4,16,"(537, 147, 541, 152)",12947.99,4.449489743,0.20119242,0.228571429,0.467257928,0.218329971,3
0,21,555,182.2857143,3.023715784,2.799416849,7,"(554, 181, 557, 184)",5510.536,2.911566316,0.08562549,0.1,0.305754709,0.093485942,3
0,1,318.6153846,1349.384615,4.318667338,3.679464844,13,"(317, 1348, 321, 1352)",9655.58,3.999066091,0.20026913,0.317073171,0.551982932,0.304685157,4
0,2,325.1538462,1160.653846,6.371547438,5.161975087,26,"(323, 1158, 328, 1164)",20293.518,5.766761262,0.4209136,0.634146341,0.795974289,0.633575069,4
0,3,326.8076923,1148.423077,6.108166991,5.421118046,26,"(324, 1146, 330, 1152)",19497.72,5.764642518,0.40440777,0.634146341,0.795681843,0.633109596,4
0,4,326.3333333,1187.25,4.167620294,3.631321611,12,"(325, 1186, 329, 1190)",9487.702,3.899470952,0.19678712,0.292682927,0.538236018,0.289698011,4
0,9,422.2222222,1076.611111,5.412760806,4.261315593,18,"(420, 1075, 425, 1079)",15361.59,4.837038199,0.3186191,0.43902439,0.667646512,0.445751865,4
0,17,620,869,3.265986324,3.265986324,9,"(619, 868, 622, 871)",8778.378,3.265986324,0.18207483,0.219512195,0.450797428,0.203218321,4
