 ,Area,Mean,Min,Max,Angle,IntDen,RawIntDen,MinThr,MaxThr,Length
1,0.797,17.957,0,69.366,1.844,14.308,8942.463,-3.40E+38,3.40E+38,19.89
2,0.581,14.101,0,54.935,-21.038,8.19,5118.624,-3.40E+38,3.40E+38,14.486
3,0.531,18.117,0,66.832,-51.015,9.624,6014.867,-3.40E+38,3.40E+38,13.225
4,0.477,16.76,0,53.211,-68.45,7.991,4994.474,-3.40E+38,3.40E+38,11.87
5,0.533,13.116,0,71.642,-34.695,6.988,4367.738,-3.40E+38,3.40E+38,13.282
6,0.632,18.586,0.795,55.238,11.11,11.746,7341.392,-3.40E+38,3.40E+38,15.776
7,0.698,14.326,0,62.896,-10.328,9.994,6246.101,-3.40E+38,3.40E+38,17.402
8,0.518,9.487,0,38.411,-56.605,4.918,3073.87,-3.40E+38,3.40E+38,12.936
9,0.48,9.437,0,40.165,49.876,4.53,2831.167,-3.40E+38,3.40E+38,11.979
10,0.395,12.545,0,33.295,-105.786,4.958,3098.636,-3.40E+38,3.40E+38,9.852
11,0.603,17.167,0.147,57.856,-68.481,10.355,6472.119,-3.40E+38,3.40E+38,15.049
12,0.728,14.269,0,46.517,-48.933,10.388,6492.238,-3.40E+38,3.40E+38,18.145
13,0.658,13.63,0.315,70.432,-73.997,8.963,5601.777,-3.40E+38,3.40E+38,16.395
14,0.616,10.758,0,32.435,-11.866,6.627,4141.691,-3.40E+38,3.40E+38,15.368
15,0.653,11.706,0,41.781,-79.657,7.642,4776.064,-3.40E+38,3.40E+38,16.264
16,0.677,11.942,0,71.785,-26.444,8.082,5051.313,-3.40E+38,3.40E+38,16.887
17,0.658,11.885,0,57.81,-154.561,7.816,4884.755,-3.40E+38,3.40E+38,16.389
18,0.53,8.714,0,34.879,-164.364,4.615,2884.353,-3.40E+38,3.40E+38,13.209
19,0.563,15.634,0.1,51.816,-120.88,8.805,5503.151,-3.40E+38,3.40E+38,14.029
20,0.61,15.875,0.039,44.503,39.013,9.677,6048.199,-3.40E+38,3.40E+38,15.187
21,0.587,13.477,0,41.662,-62.665,7.914,4946.134,-3.40E+38,3.40E+38,14.634
22,0.565,12.012,0,48.361,-35.991,6.784,4240.31,-3.40E+38,3.40E+38,14.09
23,0.598,13.385,0,34.023,-176.309,8.01,5006.013,-3.40E+38,3.40E+38,14.911
24,0.626,16.004,0,72.544,-129.693,10.012,6257.696,-3.40E+38,3.40E+38,15.595
25,0.563,19.284,1.618,72.746,-69.864,10.861,6788.117,-3.40E+38,3.40E+38,14.059
26,0.685,15.004,0.116,43.643,-68.548,10.275,6421.568,-3.40E+38,3.40E+38,17.062
27,0.525,13.393,0,44.663,-117.742,7.029,4392.822,-3.40E+38,3.40E+38,13.061
28,0.658,5.999,0,31.336,-92.235,3.945,2465.602,-3.40E+38,3.40E+38,16.412
29,0.549,12.067,0,43.283,-143.566,6.623,4139.108,-3.40E+38,3.40E+38,13.672
30,0.544,11.083,0,30.811,-46.076,6.029,3768.339,-3.40E+38,3.40E+38,13.551
31,0.525,11.916,0,37.711,-76.559,6.254,3908.562,-3.40E+38,3.40E+38,13.078
32,0.53,13.326,0,77.446,-65.067,7.058,4411.055,-3.40E+38,3.40E+38,13.189
33,0.502,8.755,0,26.531,-69.423,4.399,2749.193,-3.40E+38,3.40E+38,12.519
34,0.371,6.767,0,17.549,-80.538,2.512,1570.015,-3.40E+38,3.40E+38,9.246
35,0.619,14.401,0,38.285,19.514,8.917,5573.024,-3.40E+38,3.40E+38,15.447
36,0.488,14.326,0,39.914,-51.546,6.991,4369.478,-3.40E+38,3.40E+38,12.157
37,0.467,8.482,0,22.871,-27.887,3.963,2476.599,-3.40E+38,3.40E+38,11.631
38,0.542,6.62,0,34.678,-75.265,3.591,2244.155,-3.40E+38,3.40E+38,13.525
39,0.37,6.921,0,19.778,-73.301,2.558,1598.64,-3.40E+38,3.40E+38,9.187
40,0.683,10.721,0,53.08,7.008,7.325,4577.941,-3.40E+38,3.40E+38,17.047
41,0.538,14.083,0,41.549,-40.156,7.571,4731.762,-3.40E+38,3.40E+38,13.398
42,0.592,12.561,0,48.707,-59.33,7.436,4647.458,-3.40E+38,3.40E+38,14.742
43,0.525,9.961,0,35.079,0.35,5.227,3267.087,-3.40E+38,3.40E+38,13.08
44,0.586,10.118,0,53.435,-37.875,5.925,3703.016,-3.40E+38,3.40E+38,14.594
45,0.696,13.187,0,45.269,-13.716,9.178,5736.273,-3.40E+38,3.40E+38,17.376
46,0.646,12.444,0,50.957,-89.858,8.044,5027.262,-3.40E+38,3.40E+38,16.12
47,0.682,13.785,0,44.901,-112.578,9.396,5872.493,-3.40E+38,3.40E+38,16.982
48,0.547,12.074,0,35.166,-65.765,6.607,4129.235,-3.40E+38,3.40E+38,13.642
49,0.784,15.726,0,91.535,-28.031,12.329,7705.82,-3.40E+38,3.40E+38,19.576
50,0.682,14.871,0,75.314,-104.428,10.136,6335.203,-3.40E+38,3.40E+38,17.017
,,12.7753,,,,,,,,
