LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID683019,683019,0,45.78425598144531,2.1817211009274424,14.79492927283599,0.0,2.3841590769588947,51,0.75,1,,626.5945945945946,623.0,500.0,790.0,23184.0,84.26824215940805,14216.18918918919,15171.0,8903.0,18612.0,525999.0,2901.329387231518,,,0.061887692882935164,0.8667191864372856,0.04183218223520018,0.3934856558878537
ID683528,683528,0,34.85284423828125,2.2992336075365682,14.857525756282858,0.0,8.60167196393013,184,0.75,1,,611.1621621621622,601.0,506.0,825.0,22613.0,72.59993629990835,15403.486486486487,15848.0,9944.0,19135.0,569929.0,2621.8031075072236,,,0.05690045190404828,0.9064249403683841,0.04399804895292826,0.4952023366020244
ID683533,683533,0,36.16857147216797,2.090564200029988,14.85960069526703,0.0,8.554923746734858,183,0.75,1,,598.918918918919,576.0,504.0,737.0,22160.0,67.85907716992882,14216.18918918919,15171.0,8903.0,18612.0,525999.0,2901.329387231518,,,0.05145713433858609,0.8638614676271988,0.04183218223520018,0.3934856558878537
ID683521,683521,0,32.51235580444336,2.095734332483424,14.860426260470021,0.0,8.274434443563223,177,0.75,1,,605.2162162162163,595.0,470.0,733.0,22393.0,61.93730483101221,14216.18918918919,15171.0,8903.0,18612.0,525999.0,2901.329387231518,,,0.05299467754052324,0.9835452068724411,0.04183218223520018,0.3934856558878537
ID683012,683012,0,31.97286605834961,2.392496171356061,14.739812341500533,0.0,2.2439144253730774,48,0.75,1,,619.5675675675676,607.0,514.0,758.0,22924.0,68.58998167068997,14485.837837837838,15171.0,9184.0,19135.0,535976.0,2936.6786465279056,,,0.05650220121612515,0.966168659479452,0.02970863874158886,0.2846332200373959
ID683525,683525,0,28.923221588134766,2.1568320609988842,14.937259326893546,0.0,8.321182660758495,178,0.75,1,,609.2432432432432,607.0,532.0,738.0,22542.0,54.83024581246975,14216.18918918919,15171.0,8903.0,18612.0,525999.0,2901.329387231518,,,0.05424436507374393,1.1434412775495508,0.04183218223520018,0.3934856558878537
ID683034,683034,0,33.27541732788086,2.1547791058672594,14.718515653565193,0.0,2.524403728544712,54,0.75,1,,624.2972972972973,623.0,523.0,812.0,23099.0,71.73712229184214,13231.675675675675,12973.0,7298.0,18612.0,489572.0,3229.0865500087552,,,0.06889734043322379,1.1218736831619693,0.025900831127864146,0.20690618632262178
