LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Probability stuck,Probability diffusive
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,P stuck,P diffusive
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID30464,30464,1,38.94178009033203,23.241245308769876,32.19841974018999,0.0,0.3433893732726574,7,0.75,1,,621.6216216216217,595.0,492.0,858.0,23000.0,83.80842948566004,21311.675675675677,21286.0,19383.0,23359.0,788532.0,911.1520196997882,0.056042898652331294,0.7872405109760463,-0.0029677599345825363,-0.13924394448382385,,
ID30595,30595,1,47.020355224609375,23.540882498499762,31.14722776950549,0.0,0.09811124950647354,2,0.75,1,,640.3243243243244,623.0,496.0,928.0,23692.0,98.36582910917966,22367.324324324323,22513.0,18901.0,24465.0,827591.0,1342.2091874976131,0.06904265639724477,0.8408299961273972,0.0032931405288068667,0.10939720952342342,,
ID30339,30339,1,41.39903259277344,22.693126271090716,31.43597169181076,0.0,0.1471668742597103,3,0.75,1,,646.6756756756756,635.0,508.0,967.0,23927.0,85.63944251403156,20679.108108108107,20355.0,18800.0,22733.0,765127.0,1002.6655802239178,0.07098525463255363,1.0009844772717567,-0.015202838378665233,-0.6367714495856445,,
ID30243,30243,1,40.117042541503906,23.11919094892945,29.833922408801865,0.0,0.04905562475323677,1,0.75,1,,639.9459459459459,646.0,538.0,763.0,23678.0,59.57765518209824,22498.837837837837,22646.0,19359.0,24563.0,832457.0,1194.4645595764173,0.07355833262489728,1.471960346171808,2.3513902990115608E-4,0.008856037099142363,,
ID30531,30531,1,31.644304275512695,23.895385659408102,32.89277630138989,0.0,0.4905562475323677,10,0.75,1,,613.2972972972973,606.0,482.0,817.0,22692.0,82.83915635631392,21137.216216216217,21232.0,19159.0,22957.0,782077.0,825.9555118210106,0.058796531317584756,0.822251311887164,-0.036639040791242646,-1.9465975970161382,,
ID30421,30421,1,49.0380744934082,23.37376863114897,31.993184572805653,0.0,0.24527812376618385,5,0.75,1,,631.5675675675676,607.0,494.0,872.0,23368.0,99.4570092889219,21600.837837837837,21462.0,19383.0,23359.0,799231.0,929.1286991798496,0.06914645689105454,0.8213857238583485,-0.0013637952129573196,-0.06349895410160201,,
ID30538,30538,1,50.769466400146484,24.072776993279053,30.46877118569075,0.0,0.39244499802589417,8,0.75,1,,632.1621621621622,621.0,491.0,905.0,23390.0,102.11608685802251,23760.216216216217,23693.0,21538.0,25167.0,879128.0,909.2669860673223,0.06916244561196011,0.8009233870846939,0.008080243482484218,0.4189076633820579,,
