LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID187648,187648,,26.674423217773438,22.622853143669314,29.43689683255846,0.0,0.0,0,0.75,1,,613.5405405405405,594.0,478.0,881.0,22701.0,85.46071046412516,34185.97297297297,33262.0,27066.0,42924.0,1264881.0,4161.350365008979,,,0.032092789832707615,0.4464732968952127,0.018671004794147465,0.3011462112364556
ID187343,187343,9,71.43787384033203,10.75625297612973,2.368354428967622,0.0,0.0,0,0.75,1,,690.2432432432432,673.0,543.0,1014.0,25539.0,123.75051187445322,15760.81081081081,15670.0,9199.0,22349.0,583150.0,3369.1528760360675,,,0.10679606795651247,1.0763978240342145,0.07679598279014842,0.667256648683041
ID187610,187610,16,27.88957977294922,8.288766060692321,5.287267634815703,0.0,0.0,0,0.75,1,,609.6486486486486,590.0,501.0,902.0,22557.0,81.16040914147742,19929.891891891893,19976.0,13141.0,25219.0,737406.0,3591.5559672328327,,,0.04965264424609609,0.71066047365474,0.06329078858518178,0.6606033253038279
ID187611,187611,17,28.37423324584961,10.86509775009908,7.100361255177236,0.0,0.0,0,0.75,1,,632.5405405405405,618.0,532.0,888.0,23404.0,81.19920449616986,24057.216216216217,24136.0,19337.0,30349.0,890117.0,2616.0060539253677,,,0.05135130582243509,0.7609747031875806,0.0215855011973718,0.38861900805971195
ID187609,187609,,15.133673667907715,7.945022279285117,2.7699094077586994,0.0,0.0,0,0.75,1,,579.7297297297297,575.0,496.0,694.0,21450.0,43.113318803569946,12265.864864864865,13302.0,6189.0,16142.0,453837.0,3132.8495828891955,,,0.032617387438201056,0.8494813555371153,0.06397972103917837,0.4708663111246156
ID187614,187614,,18.7890625,16.70445572282813,10.630612244520707,0.0,0.0,0,0.75,1,,614.4054054054054,617.0,521.0,734.0,22733.0,50.79887327023628,17770.64864864865,17399.0,14903.0,21885.0,657514.0,1784.2573185162162,,,0.029128575996016228,0.6846688354756032,-0.0419863517904341,-0.8729959586601361
ID187615,187615,,12.819646835327148,11.138962731742232,12.78818682782016,0.0,0.0,0,0.75,1,,562.8378378378378,554.0,470.0,658.0,20825.0,48.94300172054649,15663.45945945946,16163.0,10735.0,19433.0,579548.0,2243.2521356602215,,,0.025851136012428822,0.5795861102604898,0.07930428959897691,1.0261063355737192
