,intensity,area,perimeter,label,frame,background,final_intensity,length(um),unit_length_intensity
0,70878.828125,334.0,143.47751106421225,8.0,0.0,12137.292488098145,58741.535636901855,2.869550221284245,20470.64212405125
1,370140.0,1623.0,458.9070132273266,9.0,0.0,58978.5200843811,311161.4799156189,9.178140264546533,33902.45419516832
2,289285.875,1343.0,483.4612741254937,5.0,1.0,47173.44366836548,242112.43133163452,9.669225482509873,25039.48550683592
3,42883.0859375,213.0,94.09948322565188,7.0,2.0,7383.8564529418945,35499.229484558105,1.8819896645130376,18862.605971719557
4,175078.1875,813.0,264.13900714379986,8.0,2.0,28183.45209503174,146894.73540496826,5.282780142875997,27806.331407348203
0,627424.125,2845.0,876.2178154383345,0.0,0.0,83348.02486419678,544076.1001358032,17.52435630876669,31046.852195285774
1,620147.75,2828.0,957.0049981323284,0.0,1.0,85261.81478118896,534885.935218811,19.14009996264657,27945.82767397681
2,412621.625,1855.0,620.1233594785381,0.0,2.0,59709.81508255005,352911.80991744995,12.402467189570762,28454.968235208362
3,46638.6328125,207.0,91.05317534707658,1.0,2.0,6663.035968780518,39975.59684371948,1.8210635069415315,21951.78624542223
4,139304.453125,634.0,242.44048457417915,2.0,2.0,20407.559440612793,118896.8936843872,4.848809691483583,24520.841453773057
5,426232.09375,1983.0,761.4121256393054,0.0,3.0,65196.753021240234,361035.34072875977,15.228242512786109,23708.273651777163
6,230603.625,1217.0,482.77793241757513,0.0,4.0,40408.356327056885,190195.26867294312,9.655558648351503,19698.007707240762
0,661943.4375,2745.0,809.1866605854367,3.0,0.0,95692.24096298218,566251.1965370178,16.183733211708734,34988.91072471103
1,560968.625,2384.0,927.8404047092554,6.0,1.0,83832.12536621094,477136.49963378906,18.556808094185108,25712.207466504045
2,128276.203125,562.0,224.55054808324968,3.0,2.0,20033.29206085205,108242.91106414795,4.491010961664994,24102.125777047324
3,51533.1171875,212.0,89.79135330860667,1.0,2.0,7557.042556762695,43976.074630737305,1.7958270661721336,24487.922840184052
4,105562.875,468.0,231.2774606998674,2.0,2.0,16682.527908325195,88880.3470916748,4.625549213997348,19215.09057188593
5,48765.2109375,202.0,90.99735881816076,11.0,3.0,7133.40779876709,41631.80313873291,1.8199471763632153,22875.28104080767
6,76173.4921875,315.0,154.949509226849,12.0,3.0,11123.878498077393,65049.61368942261,3.09899018453698,20990.583969578358
0,71814.4921875,321.0,113.75078559340524,0.0,0.0,10998.083965301514,60816.408222198486,2.2750157118681047,26732.30250891751
