,0
0,3092.4065245647816
1,4019.7676426812613
2,2322.4628388484175
3,5003.993712009164
4,3821.008913151635
5,5244.802694854534
6,4243.830080268717
7,3843.737056800355
8,4535.62124220003
9,3684.1706024485334
10,5101.143032264775
11,5316.782047724611
12,3915.9031715250508
13,2277.4902045231534
14,2181.2806403520485
15,2959.2877588133842
16,3788.85670448156
17,3496.6588179324767
18,5086.7010587530185
19,4029.650414423753
20,2901.5159504518
21,2031.5241778272161
22,3136.423597364386
23,6730.016571068314
24,1962.4716075399324
25,5081.298048318318
26,2794.7782466581475
27,2499.7704399415106
28,4494.719419274602
29,4996.050474208629
30,5698.248609649903
31,3557.449840682405
32,4738.308114387136
33,2800.5175620598293
34,2180.6674613026653
