,0
0,2350.2200800032338
1,3933.1265405752074
2,4996.081458909881
3,2184.39683112331
4,6444.819130285412
5,4725.487581460902
6,5062.09303122876
7,2537.933129607453
8,3757.1325652388723
9,3871.4492786558476
10,3985.939077099511
11,4692.2019578055015
12,3824.0924204860944
13,3679.597410393198
14,4953.464747939275
15,4916.508456848621
16,4245.0611900194735
17,4231.367552174503
18,4607.675227837697
19,6036.399703710724
20,5217.310402337182
21,4612.750560655452
22,5725.192017781992
23,3507.454920291596
24,1947.418784617252
25,3073.412383145809
26,5146.154518686538
27,3058.7627441612476
28,2692.43266528214
29,3693.5295273080255
30,4747.128886307131
31,2846.064848938617
32,1970.506573078457
33,2374.682751175469
34,1962.2111972959308
35,3552.1722910658123
36,3989.934773174101
37,2979.828824806431
38,2831.664808389655
39,4110.759249125091
