,intensity,area,perimeter,label,frame,threshold,background,final_intensity,cells
0,172433.21875,1069.0,268.8513961241846,0.0,0.0,106.75997924804688,32996.86032104492,139436.35842895508,1
1,217931.921875,1302.0,439.7552546979273,1.0,0.0,106.75997924804688,40188.879455566406,177743.0424194336,1
2,434298.1875,2735.0,823.6423784172684,0.0,1.0,106.75997924804688,81645.01459121704,352653.17290878296,1
3,200872.890625,1246.0,306.73430583682665,0.0,2.0,106.75997924804688,36193.92249298096,164678.96813201904,1
4,129697.2578125,789.0,322.9418129431296,1.0,2.0,106.75997924804688,22918.944499969482,106778.31331253052,1
5,243900.4375,1665.0,467.2768869824723,0.0,3.0,106.75997924804688,47861.70621871948,196038.73128128052,1
6,171504.15625,1106.0,406.4268609812752,0.0,4.0,106.75997924804688,31364.75783920288,140139.39841079712,1
0,765765.875,4904.0,1272.5760249970203,1.0,0.0,99.3353042602539,169440.75399780273,596325.1210021973,2
1,226616.984375,1466.0,442.0624043396682,0.0,1.0,99.3353042602539,49402.920471191406,177214.0639038086,2
2,181838.5,1186.0,329.9314599215093,1.0,1.0,99.3353042602539,39967.16485595703,141871.33514404297,2
3,111913.0,702.0,228.53335542915275,2.0,1.0,99.3353042602539,23656.78729248047,88256.21270751953,2
4,264722.28125,1717.0,590.4034056881954,0.0,2.0,99.3353042602539,56375.00799560547,208347.27325439453,2
5,117208.4375,741.0,254.60259612519883,1.0,2.0,99.3353042602539,24329.57537841797,92878.86212158203,2
6,169264.90625,1083.0,341.7355523357526,0.0,3.0,99.3353042602539,35177.0210609436,134087.8851890564,2
0,742356.9375,4142.0,994.0534648331216,0.0,0.0,106.72313690185547,145534.53520965576,596822.4022903442,3
1,593221.6875,3553.0,1021.9398879349073,0.0,1.0,106.72313690185547,119958.36851501465,473263.31898498535,3
2,350504.125,2051.0,570.1967429531724,0.0,2.0,106.72313690185547,68042.75277328491,282461.3722267151,3
3,164219.921875,979.0,306.31369849067005,1.0,2.0,106.72313690185547,32478.72011947632,131741.20175552368,3
4,451128.8125,2690.0,880.5885335647598,0.0,3.0,106.72313690185547,88162.42473602295,362966.38776397705,3
5,274981.84375,1626.0,547.3807279685476,0.0,4.0,106.72313690185547,52631.73264312744,222350.11110687256,3
0,62195.7890625,605.0,180.90034518459908,0.0,0.0,70.47498321533203,15765.138807296753,46430.65025520325,4
1,187462.28125,1890.0,568.0474662958261,2.0,0.0,70.47498321533203,49249.77247238159,138212.5087776184,4
2,81420.359375,763.0,277.1491050675972,0.0,1.0,70.47498321533203,19330.1706199646,62090.1887550354,4
3,65693.09375,652.0,289.5807226608432,1.0,1.0,70.47498321533203,16518.04881286621,49175.04493713379,4
0,326056.9375,3088.0,822.3247398498827,0.0,0.0,71.29542922973633,78485.31591796875,247571.62158203125,5
1,124867.84375,1201.0,339.60939564168785,1.0,0.0,71.29542922973633,30524.891326904297,94342.9524230957,5
2,89411.171875,869.0,271.0401410276294,2.0,0.0,71.29542922973633,22086.703216552734,67324.46865844727,5
3,106245.921875,1038.0,385.5368565383335,3.0,0.0,71.29542922973633,26382.045959472656,79863.87591552734,5
4,75883.375,729.0,234.62597118630333,0.0,1.0,71.29542922973633,17762.77589035034,58120.59910964966,5
5,170465.65625,1614.0,540.8906248285219,1.0,1.0,71.29542922973633,39326.63962554932,131139.01662445068,5
6,70086.8828125,649.0,214.8793840435355,0.0,2.0,71.29542922973633,15408.755197525024,54678.127614974976,5
7,126980.78125,1237.0,455.90694527531446,1.0,2.0,71.29542922973633,29369.229860305786,97611.55138969421,5
8,67128.78125,671.0,234.03114257293487,0.0,3.0,71.29542922973633,15600.254705429077,51528.52654457092,5
