,index,label,x,y,threshold,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
5,0,28,336.41379310344826,1059.5862068965516,101.15451049804688,7.0493419802375925,0,3.2,0.7368421052631579,5520.66455078125,1164.7196080451831,32.169908772759484,20.106192982974676,256.0,804.247719318987,4355.944942736067,1
16,0,83,382.24242424242425,1173.7575757575758,101.15451049804688,7.123494854557055,0,3.0,0.7222222222222222,5268.5400390625,992.8806362550822,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4275.659402807418,1
21,0,99,396.46666666666664,1049.7333333333333,101.15451049804688,6.65020454547496,0,3.2,0.717948717948718,5749.20556640625,1132.4918807446957,32.169908772759484,20.106192982974676,256.0,804.247719318987,4616.713685661554,1
22,0,126,421.075,876.325,101.15451049804688,8.658896383831202,0,3.2,0.75,7769.4736328125,1222.4910401445813,32.169908772759484,20.106192982974676,256.0,804.247719318987,6546.982592667919,1
24,0,131,427.54285714285714,860.3714285714286,101.15451049804688,7.877286122421316,0,3.2,0.7142857142857143,6152.22265625,1393.0468967346824,32.169908772759484,20.106192982974676,256.0,804.247719318987,4759.175759515318,1
25,0,133,429.5740740740741,890.6111111111111,101.15451049804688,9.131664459709368,0,4.300000000000001,0.7692307692307693,10907.6015625,1654.5627365613764,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,9253.038825938624,1
29,0,146,444.3076923076923,1210.1153846153845,101.15451049804688,6.550150142548243,0,2.9000000000000004,0.8214285714285714,4385.43505859375,1010.5893284344347,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3374.8457301593153,1
30,0,155,456.4375,851.71875,101.15451049804688,6.763770592850819,0,3.2,0.725,6154.3056640625,1243.5599504257552,32.169908772759484,20.106192982974676,256.0,804.247719318987,4910.745713636745,1
33,0,167,469.0,1150.6285714285714,101.15451049804688,7.681989098789268,0,3.2,0.7560975609756098,5983.41162109375,1372.3569798644457,32.169908772759484,20.106192982974676,256.0,804.247719318987,4611.054641229304,1
34,0,170,469.56666666666666,677.3333333333334,101.15451049804688,6.7244937658978206,0,3.2,0.7631578947368421,7235.64013671875,1245.888468730729,32.169908772759484,20.106192982974676,256.0,804.247719318987,5989.751667988021,1
40,0,199,482.06666666666666,1218.1,101.15451049804688,7.175037727971145,0,3.0,0.7878787878787878,4839.650390625,1523.80924049858,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3315.84115012642,1
41,0,203,486.741935483871,1129.3225806451612,101.15451049804688,6.962863540173479,0,3.0,0.7142857142857143,5329.74267578125,1199.568313282798,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4130.174362498452,1
46,0,214,491.4423076923077,1242.826923076923,101.15451049804688,9.818191944051572,0,4.0,0.7413793103448276,9885.765625,3333.399816173711,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,6552.365808826289,1
47,0,216,492.3333333333333,889.75,101.15451049804688,7.789472365708273,0,3.7,0.7608695652173914,7044.1591796875,3387.9090991825797,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3656.2500805049203,1
50,0,223,498.59154929577466,962.4929577464789,101.15451049804688,10.489121938469877,0,4.5,0.7721518987341772,12173.1884765625,2932.984287248226,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,9240.204189314274,1
51,0,225,498.46666666666664,634.4,101.15451049804688,7.464790910891122,0,3.0,0.7352941176470589,4901.74658203125,1066.9052042625844,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3834.8413777686656,1
52,0,226,499.04545454545456,775.0227272727273,101.15451049804688,7.862603237261945,0,3.7,0.8936170212765957,8295.3876953125,1767.0421574707143,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6528.345537841786,1
53,0,230,501.12,749.76,101.15451049804688,9.16077912571342,0,4.0,0.7368421052631579,9550.728515625,1561.0068667528103,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,7989.72164887219,1
54,0,232,500.075,1178.6,101.15451049804688,9.070223358240849,0,3.7,0.7346938775510204,7832.0732421875,2793.2982331118546,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,5038.775009075645,1
61,0,256,513.4444444444445,988.5277777777778,101.15451049804688,7.857846610769357,0,3.2,0.7804878048780488,6479.53662109375,1211.4564266961534,32.169908772759484,20.106192982974676,256.0,804.247719318987,5268.080194397597,1
65,0,268,517.0,815.2222222222222,101.15451049804688,6.79869268479038,0,3.0,0.8064516129032258,5077.22607421875,1249.7492121931864,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3827.4768620255636,1
68,0,279,526.25,575.1818181818181,101.15451049804688,9.548341258407646,0,3.7,0.7115384615384616,8026.619140625,1585.1631649886258,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6441.455975636374,1
69,0,285,528.1276595744681,914.2340425531914,101.15451049804688,8.894389450334382,0,3.7,0.803921568627451,9344.619140625,2762.819897303707,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6581.799243321293,1
73,0,293,534.71875,718.234375,101.15451049804688,10.184896487312177,0,4.5,0.7733333333333333,13497.0283203125,3551.9976274785586,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,9945.030692833941,1
74,0,297,534.4571428571429,808.1142857142858,101.15451049804688,8.965934495547668,0,3.2,0.7142857142857143,7403.6533203125,1424.9001967745135,32.169908772759484,20.106192982974676,256.0,804.247719318987,5978.7531235379865,1
75,0,299,534.5652173913044,1208.0869565217392,101.15451049804688,8.275508220753641,0,3.7,0.82,9219.4287109375,1793.1944989239128,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7426.234212013587,1
76,0,302,538.0909090909091,918.6909090909091,101.15451049804688,9.636843174273386,0,4.0,0.7627118644067796,10229.2109375,2181.696863239631,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,8047.514074260369,1
77,0,303,537.1081081081081,927.3243243243244,101.15451049804688,7.4714536440860675,0,3.2,0.85,7010.2021484375,2121.8733585394803,32.169908772759484,20.106192982974676,256.0,804.247719318987,4888.32878989802,1
78,0,306,538.5471698113207,728.6037735849056,101.15451049804688,8.760213584383122,0,4.2,0.7741935483870968,12244.2822265625,2462.3511949649546,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,9781.931031597545,1
86,0,323,545.5892857142857,813.1071428571429,101.15451049804688,9.587471489612469,0,4.5,0.7857142857142857,12870.40625,2213.844696584798,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,10656.561553415202,1
90,0,342,555.2127659574468,897.4255319148937,101.15451049804688,8.526708311837291,0,3.7,0.8775510204081632,9125.39453125,1968.8582987571135,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7156.5362324928865,1
