,intensity,area,perimeter,label,frame,threshold,background,final_intensity,cells
0,60864.32421875,555.0,228.6912284135474,0.0,0.0,69.74713897705078,16793.62051963806,44070.70369911194,1
1,64929.0390625,591.0,230.18308824814497,1.0,0.0,69.74713897705078,17882.936445236206,47046.102617263794,1
2,758469.125,6860.0,2236.610138353827,3.0,0.0,69.74713897705078,207575.20137786865,550893.9236221313,1
3,46773.4609375,429.0,179.36901710390282,4.0,0.0,69.74713897705078,12981.014780044556,33792.446157455444,1
4,37112.640625,349.0,146.61910371780203,0.0,1.0,69.74713897705078,10186.759016036987,26925.881608963013,1
5,54219.1328125,473.0,182.60589453250714,1.0,1.0,69.74713897705078,13806.123250961304,40413.009561538696,1
6,94389.625,879.0,322.4980856336914,3.0,1.0,69.74713897705078,25656.6222782135,68733.0027217865,1
7,89873.796875,829.0,314.68357224581564,4.0,1.0,69.74713897705078,24197.20121574402,65676.59565925598,1
8,331646.125,3014.0,1017.6154097350451,5.0,1.0,69.74713897705078,87973.9016456604,243672.2233543396,1
9,152302.984375,1420.0,594.3563213903526,6.0,1.0,69.74713897705078,41447.5581741333,110855.4262008667,1
10,39702.15625,370.0,167.85755069516745,0.0,2.0,69.74713897705078,10537.074069976807,29165.082180023193,1
11,83193.5,865.0,243.68595832983192,1.0,2.0,69.74713897705078,24633.970460891724,58559.52953910828,1
12,35072.65625,325.0,144.18397273541237,2.0,2.0,69.74713897705078,9255.538034439087,25817.118215560913,1
13,55082.75,520.0,206.24000424616355,3.0,2.0,69.74713897705078,14808.860855102539,40273.88914489746,1
14,143751.046875,1402.0,555.4089308697339,4.0,2.0,69.74713897705078,39926.967151641846,103824.07972335815,1
15,37050.48828125,359.0,170.38796645257162,5.0,2.0,69.74713897705078,10223.809705734253,26826.678575515747,1
16,33571.13671875,302.0,163.1846299608814,6.0,2.0,69.74713897705078,8600.530727386475,24970.605991363525,1
17,37389.13671875,357.0,175.5373110619301,7.0,2.0,69.74713897705078,10166.852548599243,27222.284170150757,1
18,36219.6796875,360.0,155.0053257557648,1.0,3.0,69.74713897705078,10108.207397460938,26111.472290039062,1
0,245812.265625,2081.0,757.4293182934025,0.0,0.0,75.62773132324219,61473.61115837097,184338.65446662903,2
1,302047.21875,2527.0,890.5850201756161,1.0,0.0,75.62773132324219,74648.63786506653,227398.58088493347,2
2,214180.296875,1733.0,588.8816542098521,0.0,1.0,75.62773132324219,49829.78572463989,164350.5111503601,2
3,235731.71875,1947.0,730.5092863026902,1.0,1.0,75.62773132324219,55983.031047821045,179748.68770217896,2
4,57888.8125,474.0,211.56357012273384,2.0,1.0,75.62773132324219,13629.150856018066,44259.66164398193,2
5,81969.4453125,686.0,259.37080163449934,0.0,2.0,75.62773132324219,19377.50201034546,62591.94330215454,2
