,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
3,0,32,337.6619718309859,240.30985915492957,11.615455124347429,0,4.5,0.7721518987341772,14441.0751953125,2325.335128943436,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,12115.740066369064,1
5,0,49,355.6333333333333,148.36666666666667,6.491019437140313,0,3.0,0.7352941176470589,6026.51123046875,952.4599257746595,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5074.0513046940905,1
11,0,113,447.0217391304348,599.695652173913,9.280874062303534,0,4.2,0.7166666666666667,11623.6328125,2067.66368933022,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,9555.96912316978,1
16,0,133,470.7391304347826,609.4057971014493,10.769263315072848,0,5.0,0.7647058823529411,15198.3759765625,2944.8885794734815,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,12253.487397089018,1
20,0,155,506.77272727272725,613.6590909090909,7.98624432664976,0,4.2,0.711864406779661,11590.1884765625,1724.9279053788632,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,9865.260571183637,1
21,0,158,516.2878787878788,534.530303030303,10.827343773421337,0,4.5,0.7532467532467533,15433.3056640625,1994.4980177223624,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,13438.807646340138,1
25,0,165,535.05,636.6,7.71271815329155,0,3.7,0.7708333333333334,9270.1396484375,1634.8329908796586,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7635.306657557841,1
26,0,171,552.05,568.3,9.159604862073177,0,3.7,0.7346938775510204,10962.4306640625,2213.916034513386,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,8748.514629549114,1
30,0,177,557.09375,560.0625,7.527549648468683,0,3.2,0.8157894736842105,8627.7421875,1689.9000227341894,32.169908772759484,20.106192982974676,256.0,804.247719318987,6937.842164765811,1
33,0,189,578.3,490.8,7.617315327643641,0,2.9000000000000004,0.71875,5038.8916015625,768.5215257050004,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4270.3700758575,1
35,0,193,584.0,532.074074074074,7.220154527076466,0,2.9000000000000004,0.7931034482758621,5095.6435546875,850.5931136780418,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4245.050441009458,1
39,0,218,655.3870967741935,493.19354838709677,7.5813924974969025,0,3.0,0.7647058823529411,7750.15234375,1013.1965533996699,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6736.95579035033,1
4,0,42,355.5,251.43333333333334,6.967287186929933,1,3.2,0.717948717948718,8333.259765625,1069.6703306045383,32.169908772759484,20.106192982974676,256.0,804.247719318987,7263.589435020462,1
25,0,166,557.1612903225806,561.7741935483871,7.5148822596699185,1,3.2,0.7435897435897436,7280.32421875,2058.1985640247585,32.169908772759484,20.106192982974676,256.0,804.247719318987,5222.1256547252415,1
34,0,205,655.46875,494.25,6.71185162967684,1,3.2,0.7692307692307693,7815.03955078125,1222.5109189702198,32.169908772759484,20.106192982974676,256.0,804.247719318987,6592.52863181103,1
2,0,23,336.3529411764706,241.77941176470588,10.949939180220433,2,4.5,0.7341772151898734,13923.3251953125,2280.137897164095,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,11643.187298148405,1
13,0,107,467.3225806451613,505.6774193548387,7.2285617767142005,2,3.2,0.7435897435897436,8836.9052734375,1080.7262885204982,32.169908772759484,20.106192982974676,256.0,804.247719318987,7756.178984917002,1
23,0,133,527.2571428571429,644.0571428571428,7.929566157248119,2,3.2,0.8,8213.7021484375,1379.4197510049125,32.169908772759484,20.106192982974676,256.0,804.247719318987,6834.2823974325875,1
31,0,155,575.5,632.5,7.2129911343796875,2,3.2,0.7631578947368421,7698.62060546875,1109.1267807778204,32.169908772759484,20.106192982974676,256.0,804.247719318987,6589.49382469093,1
35,0,182,647.2727272727273,551.060606060606,8.088631949894971,2,3.2,0.75,8322.505859375,1354.7252415991388,32.169908772759484,20.106192982974676,256.0,804.247719318987,6967.780617775861,1
2,0,24,328.15384615384613,344.11538461538464,6.35545666921016,3,2.9000000000000004,0.8888888888888888,4885.267578125,967.7660719258711,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3917.501506199129,1
4,0,29,337.2857142857143,260.5357142857143,6.246159456075659,3,3.2,0.7567567567567568,7321.037109375,1026.7237304633018,32.169908772759484,20.106192982974676,256.0,804.247719318987,6294.313378911698,1
21,0,126,523.1428571428571,646.0,8.02448690985742,3,3.2,0.7560975609756098,7951.32275390625,1425.5385303688236,32.169908772759484,20.106192982974676,256.0,804.247719318987,6525.784223537426,1
28,0,140,556.3333333333334,560.2820512820513,9.064766114052667,3,3.7,0.75,9049.5712890625,1855.318581975298,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7194.252707087202,1
30,0,148,575.3461538461538,631.0,6.492464878549775,3,2.9000000000000004,0.8214285714285714,5784.4599609375,889.5766390953213,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4894.883321842179,1
7,0,94,465.5,640.5,6.676183683170241,4,3.2,0.7567567567567568,6469.466796875,1434.9878685812,32.169908772759484,20.106192982974676,256.0,804.247719318987,5034.4789282938,1
15,0,124,551.6206896551724,568.1034482758621,7.582705723121887,4,2.9000000000000004,0.7419354838709677,4976.3779296875,1229.8263845528709,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3746.551545134629,1
10,0,35,321.59375,229.78125,7.727595953791513,0,2.9000000000000004,0.7272727272727273,6416.1240234375,1088.7318484601565,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,5327.3921749773435,2
12,0,39,336.2439024390244,354.0,7.231367984470799,0,3.7,0.9111111111111111,10888.06640625,1841.0521012474783,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9047.014305002522,2
17,0,62,361.38461538461536,385.6923076923077,6.642857079474531,0,2.9000000000000004,0.7586206896551724,5869.80224609375,1181.2918002688093,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4688.510445824941,2
25,0,86,387.92857142857144,401.88775510204084,12.313033808033614,0,5.9,0.7542372881355932,25920.3046875,3882.4408099874854,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,22037.863877512515,2
41,0,152,481.39285714285717,481.0357142857143,7.318463833360279,0,3.0,0.7272727272727273,7665.33642578125,1593.5099250880885,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6071.8265006931615,2
42,0,153,481.5,564.0,6.201736729460423,0,2.9000000000000004,0.8214285714285714,7252.9990234375,1273.051110492088,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,5979.947912945412,2
43,0,158,488.7843137254902,627.2352941176471,9.0653800801626,0,4.2,0.7704918032786885,13679.25,2655.429749145638,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,11023.820250854362,2
45,0,160,489.4782608695652,642.3695652173913,8.329698380843082,0,3.7,0.7843137254901961,12378.03125,2001.719949633116,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,10376.311300366884,2
49,0,180,506.6923076923077,480.20512820512823,7.35476922557046,0,3.2,0.7674418604651163,10090.0517578125,1764.1822640814935,32.169908772759484,20.106192982974676,256.0,804.247719318987,8325.869493731007,2
57,0,208,532.3137254901961,492.2156862745098,8.703670786004693,0,4.0,0.7857142857142857,13838.8837890625,2302.3111267429776,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,11536.572662319522,2
