,index,label,x,y,threshold,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
13,0,90,572.5365853658536,1180.439024390244,68.16666412353516,8.347964764018663,0,3.2,0.7333333333333333,4230.6494140625,1287.5246668681502,32.169908772759484,20.106192982974676,256.0,804.247719318987,2943.1247471943498,1
23,0,158,610.4117647058823,999.2647058823529,68.16666412353516,7.406476263905979,0,3.2,0.775,3587.69775390625,1360.5512855099514,32.169908772759484,20.106192982974676,256.0,804.247719318987,2227.1464683962986,1
49,0,308,747.0227272727273,764.4318181818181,68.16666412353516,8.382869216517008,0,3.7,0.78,4527.30078125,1162.5659479619935,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3364.7348332880065,1
71,0,448,916.2794117647059,690.3088235294117,68.16666412353516,10.186726907744184,0,4.5,0.8266666666666667,9099.505859375,1787.7445717994124,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,7311.761287575588,1
26,0,200,646.421052631579,598.0263157894736,68.16666412353516,7.628537388954864,1,3.2,0.8292682926829268,4240.140625,959.9565877406858,32.169908772759484,20.106192982974676,256.0,804.247719318987,3280.184037259314,1
34,0,286,716.1311475409836,716.2131147540983,68.16666412353516,9.949810737107684,1,4.2,0.84375,6358.052734375,1509.1776068250183,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,4848.875127549982,1
57,0,440,876.2142857142857,722.7142857142857,68.16666412353516,8.757349588910975,1,3.7,0.74,4955.0927734375,1179.1683935327455,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3775.9243799047545,1
61,0,465,915.425925925926,690.0555555555555,68.16666412353516,9.591103636918879,1,4.2,0.819672131147541,7691.5908203125,1605.9857915816247,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,6085.605028730875,1
3,0,40,521.5714285714286,1129.107142857143,68.16666412353516,7.645828250832452,2,3.0,0.7272727272727273,2857.025390625,943.3387046505231,28.274333882308138,18.84955592153876,240.0,753.9822368615504,1913.6866859744769,1
14,0,139,599.3333333333334,974.1904761904761,68.16666412353516,8.539280714772925,2,3.7,0.7755102040816326,4514.2822265625,1487.6284012093674,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3026.6538253531326,1
16,0,150,605.0,928.1063829787234,68.16666412353516,9.099761819512786,2,4.300000000000001,0.7419354838709677,6034.8935546875,2056.5517923890147,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,3978.3417622984853,1
37,0,278,709.0909090909091,665.0,68.16666412353516,7.267962281493835,2,3.2,0.7948717948717948,3419.461669921875,1123.3156938687898,32.169908772759484,20.106192982974676,256.0,804.247719318987,2296.145976053085,1
45,0,344,777.060606060606,781.1818181818181,68.16666412353516,8.54815217145912,2,3.0,0.7222222222222222,3293.34521484375,843.4555926243775,28.274333882308138,18.84955592153876,240.0,753.9822368615504,2449.8896222193725,1
46,0,359,796.0508474576271,772.5084745762712,68.16666412353516,9.613664887113204,2,4.5,0.8028169014084507,7058.70703125,1834.106199879432,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,5224.600831370568,1
47,0,396,845.74,837.2,68.16666412353516,8.656629314454804,2,4.0,0.7678571428571429,5894.9482421875,1387.52187154087,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,4507.42637064663,1
2,0,10,465.25,1300.2142857142858,68.16666412353516,7.2690862585049505,3,3.2,0.7105263157894737,3361.080322265625,1105.9970157593489,32.169908772759484,20.106192982974676,256.0,804.247719318987,2255.083306506276,1
29,0,218,665.156862745098,902.156862745098,68.16666412353516,9.352367125474373,3,4.2,0.7704918032786885,5908.59228515625,1742.455261815805,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,4166.137023340445,1
23,0,178,620.5,462.0,68.16666412353516,8.449645334788356,4,3.0,0.7428571428571429,3550.926513671875,610.3338900633971,28.274333882308138,18.84955592153876,240.0,753.9822368615504,2940.592623608478,1
31,0,224,665.452380952381,903.3571428571429,68.16666412353516,8.716741921677464,4,3.7,0.74,4280.82177734375,1420.652561292518,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2860.169216051232,1
5,0,34,274.5,402.5,107.42732238769531,10.60732090687491,0,4.2,0.7121212121212122,8766.72265625,1581.6064699708368,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,7185.116186279163,2
17,0,77,337.0740740740741,398.44444444444446,107.42732238769531,6.81220848797792,0,2.9000000000000004,0.7931034482758621,4575.5888671875,1291.0057711138961,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3284.583096073604,2
33,0,148,392.61290322580646,375.7096774193548,107.42732238769531,7.465006036658699,0,3.0,0.7142857142857143,6621.9765625,1083.4509971027728,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5538.525565397227,2
38,0,161,407.05172413793105,452.37931034482756,107.42732238769531,9.59809661999176,0,4.300000000000001,0.7761194029850746,9604.998046875,2228.8242669953033,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,7376.173779879697,2
41,0,180,421.78,284.06,107.42732238769531,9.171512405029445,0,3.7,0.7272727272727273,7252.33056640625,2001.0101118707098,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,5251.32045453554,2
50,0,216,462.43333333333334,695.5666666666667,107.42732238769531,6.659371929464553,0,3.0,0.7352941176470589,6057.76953125,973.3595211133361,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5084.410010136664,2
66,0,277,510.5,531.5,107.42732238769531,6.531972647421808,0,3.0,0.7352941176470589,5155.02099609375,1397.3765966421633,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3757.6443994515867,2
79,0,303,536.2307692307693,405.4230769230769,107.42732238769531,6.613119446908223,0,2.9000000000000004,0.7586206896551724,3758.412109375,1223.7515045882901,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,2534.66060478671,2
82,0,312,542.7714285714286,480.0857142857143,107.42732238769531,7.688074604114077,0,3.2,0.7142857142857143,7437.60986328125,1167.460961744655,32.169908772759484,20.106192982974676,256.0,804.247719318987,6270.148901536595,2
