,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
7,0,57,215.13888888888889,644.0277777777778,7.557264088966726,0,3.2,0.8717948717948718,9024.814453125,2683.7578411258382,32.169908772759484,20.106192982974676,256.0,804.247719318987,6341.056611999162,315.37828257037916,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
8,0,60,216.34375,725.21875,8.352361017222632,0,3.0,0.6944444444444444,8582.9453125,1832.9439243155716,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6750.001388184428,358.09869560223575,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
11,0,70,231.08928571428572,623.6428571428571,9.46038388525621,0,4.0,0.7796610169491526,15534.0380859375,3521.593542559631,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,12012.44454337787,477.95998192396337,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
12,0,75,233.61363636363637,562.6818181818181,8.095825758664141,0,4.0,0.7222222222222222,11698.5361328125,3080.4841239246725,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,8618.052008887827,342.9013942593841,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
14,0,87,241.47368421052633,511.6842105263158,8.783352011192902,0,3.2,0.6666666666666666,9242.728515625,1968.7465946503726,32.169908772759484,20.106192982974676,256.0,804.247719318987,7273.981920974627,361.7781808388101,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
18,0,107,256.6842105263158,450.1842105263158,8.219950087101841,0,3.2,0.7857142857142857,11082.8291015625,1809.9372271794082,32.169908772759484,20.106192982974676,256.0,804.247719318987,9272.89187438309,461.19580580148113,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
27,0,151,285.88732394366195,421.14084507042253,11.662041080920666,0,4.5,0.7283950617283951,24454.9609375,3524.025503360778,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,20930.93543413922,740.280408417903,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
29,0,154,286.4054054054054,552.5405405405405,7.818686308687449,0,3.2,0.7619047619047619,9601.849609375,3438.308975548595,32.169908772759484,20.106192982974676,256.0,804.247719318987,6163.540633826406,306.5493621316332,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
33,0,177,298.1111111111111,561.7222222222222,7.132194108324442,0,3.7,0.723404255319149,10857.123046875,3549.6564114287503,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7307.46663544625,314.32957743523565,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
36,0,195,309.9714285714286,480.54285714285714,9.619739282555459,0,4.5,0.759493670886076,20237.58984375,4292.884994785488,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,15944.704848964513,563.9285761897811,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
37,0,199,308.95081967213116,649.3934426229508,9.127163458699156,0,4.5,0.7333333333333333,18052.78515625,3999.4935692368445,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,14053.291587013155,497.0335161744201,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
38,0,200,309.39130434782606,508.3478260869565,7.950623203192126,0,3.7,0.8571428571428571,13619.6669921875,4090.2691021224477,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9529.397890065053,409.9056159171165,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
41,0,209,314.4406779661017,496.77966101694915,9.549983811283932,0,4.300000000000001,0.7647058823529411,17860.4453125,6276.935796134919,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,11583.50951636508,428.7378599724447,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
49,0,239,334.35849056603774,588.377358490566,10.450705524880194,0,4.300000000000001,0.7272727272727273,13338.646484375,4148.438214693069,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,9190.20826968193,340.15513352648685,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
50,0,240,332.3783783783784,647.7837837837837,8.034203109637625,0,3.2,0.6818181818181818,8026.11328125,2542.886049324274,32.169908772759484,20.106192982974676,256.0,804.247719318987,5483.227231925726,272.7133493928343,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
51,0,244,336.34285714285716,363.9428571428571,7.123716534336954,0,3.2,0.6744186046511628,10630.2421875,1964.9591491504013,32.169908772759484,20.106192982974676,256.0,804.247719318987,8665.283038349598,430.9758215136551,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
55,0,257,346.125,493.75,6.8615145963686235,0,3.7,0.7111111111111111,11573.4619140625,3848.8082189887764,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7724.653695073724,332.27481601190743,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
59,0,269,352.6511627906977,564.1162790697674,8.943995625713836,0,4.0,0.7037037037037037,12368.501953125,3421.8484890808168,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,8946.653464044182,355.97603073321505,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
61,0,277,360.45714285714286,624.7714285714286,7.741411871945796,0,3.0,0.6842105263157895,7864.33740234375,1728.7150758020953,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6135.622326541655,325.50487407136654,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
63,0,281,363.575,446.6,7.941152107443653,0,4.0,0.7115384615384616,12812.955078125,3024.1740974593163,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,9788.780980665684,389.48321997921863,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
67,0,298,376.8305084745763,496.06779661016947,9.187129278140018,0,4.300000000000001,0.7910447761194029,18300.75,5306.391355411857,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12994.358644588143,480.95730478955903,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
69,0,301,380.98387096774195,481.80645161290323,12.43130692236452,0,4.2,0.676056338028169,15332.9150390625,4172.809393133037,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,11160.105645929463,422.901423566058,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
74,0,318,398.2093023255814,448.25581395348837,7.66940239142459,0,3.7,0.9130434782608695,11035.904296875,2956.7987386398017,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,8079.105558235198,347.5215095552266,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
75,0,319,398.0967741935484,566.5806451612904,7.05034754299811,0,3.0,0.7647058823529411,8287.7392578125,2214.124289973676,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6073.614967838825,322.21528152282394,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
76,0,322,401.72549019607845,512.7647058823529,8.97963490942681,0,4.2,0.7142857142857143,15728.04296875,4195.654048001915,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,11532.388920748086,437.0087386655395,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
80,0,333,416.7317073170732,542.4878048780488,9.225428251361294,0,4.0,0.6666666666666666,12232.37890625,3233.1821097540483,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,8999.196796495951,358.06666350477,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
