,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
2,0,25,204.77083333333334,970.2291666666666,10.009491478388462,0,3.7,0.7547169811320755,7090.00927734375,1538.0791132385843,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,5551.930164105166,238.81544035630674,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
4,0,29,209.17142857142858,756.5428571428571,7.855727760896596,0,3.2,0.8,6718.701171875,1743.7451972982287,32.169908772759484,20.106192982974676,256.0,804.247719318987,4974.955974576771,247.43401094326586,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
5,0,33,218.57692307692307,679.0769230769231,10.571515654340853,0,4.2,0.676923076923077,6636.79931640625,2650.7383565291757,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,3986.0609598770743,151.04792981668132,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
6,0,41,225.56896551724137,739.5344827586207,9.45533694223197,0,4.0,0.7540983606557377,6854.1787109375,2546.253191901222,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,4307.925519036278,171.40691020658565,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
8,0,44,227.40350877192984,764.5964912280701,9.09963227919389,0,4.5,0.75,9268.791015625,2982.2577409252526,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,6286.533274699747,222.34063235114328,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
10,0,55,234.98461538461538,774.6769230769231,12.936121252218232,0,4.5,0.654320987654321,9397.966796875,3435.898894099938,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,5962.067902775062,210.86501728359573,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
11,0,60,237.52,675.7,9.682639889018398,0,4.0,0.7068965517241379,5938.6396484375,2482.398437917531,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,3456.241210519969,137.51946829304228,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
15,0,83,255.3734939759036,654.0361445783133,11.317143440522656,0,4.5,0.7674418604651163,12315.044921875,3427.8517397899927,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,8887.193182085008,314.3201611425377,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
26,0,155,287.48979591836735,777.7142857142857,9.554961871957637,0,4.2,0.6825396825396826,7594.00439453125,3033.6699511156976,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,4560.334443415552,172.8094687670982,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
27,0,169,293.44444444444446,816.0833333333334,7.691785521418446,0,3.2,0.7380952380952381,4143.8837890625,2038.2279483911398,32.169908772759484,20.106192982974676,256.0,804.247719318987,2105.6558406713602,104.72672984161481,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
35,0,295,331.32394366197184,801.2816901408451,11.965518250525177,0,4.5,0.6867469879518072,7843.283203125,3558.469686104357,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,4284.813517020642,151.54427810240094,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
37,0,335,343.19117647058823,648.1176470588235,11.550649009561218,0,4.5,0.7125,10494.1494140625,2814.7479896848463,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,7679.401424377654,271.60326592814346,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
38,0,348,343.52777777777777,788.5,8.053734364193613,0,3.7,0.6530612244897959,5275.2587890625,2634.5479108326135,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2640.7108782298865,113.58978095860176,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
39,0,349,345.1195652173913,838.7934782608696,11.75258163823826,0,5.9,0.7787610619469026,14269.0712890625,5109.150716586933,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,9159.920572475567,247.09265041332714,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
48,0,438,372.5344827586207,889.448275862069,11.469606372457843,0,4.2,0.6666666666666666,6916.0009765625,3035.966021540165,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,3880.034955022335,147.03017677646295,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
51,0,464,380.725,679.3,8.865032022525357,0,3.7,0.6666666666666666,5365.16064453125,2397.310391492397,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2967.850253038853,127.66163192639618,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
71,0,617,427.01851851851853,845.1296296296297,10.566354612690919,0,4.2,0.7076923076923077,6452.0654296875,3215.847551161945,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,3236.217878525555,122.63335054516881,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
73,0,620,430.80808080808083,666.7979797979798,14.595019898972613,0,5.7,0.6666666666666666,14395.583984375,4543.633862387986,102.07034531513239,35.814156250923645,456.0,1432.5662500369458,9851.950121987014,275.0853615805324,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
89,0,778,463.3103448275862,666.0344827586207,9.96072368016122,0,4.5,0.6933333333333334,8980.5185546875,3268.7231874088293,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,5711.795367278671,202.01343702928628,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
91,0,807,469.67857142857144,817.1904761904761,12.198510450589321,0,5.0,0.7553191489361702,10248.498046875,4480.971691958606,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,5767.526354916394,183.58606575954505,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
92,0,810,470.3258426966292,683.9887640449438,11.75940948800438,0,5.9,0.6779661016949152,15721.1611328125,5006.9641736868025,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,10714.196959125697,289.01989954322175,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
95,0,847,479.98809523809524,798.1071428571429,12.389133439357133,0,5.7,0.6818181818181818,11424.6533203125,4990.685501980521,102.07034531513239,35.814156250923645,456.0,1432.5662500369458,6433.967818331979,179.6487336810021,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
102,0,913,495.5,798.3382352941177,10.600242915036866,0,4.300000000000001,0.72,7181.8740234375,3280.869768332578,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,3901.004255104922,144.38700237731751,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
117,0,1028,525.6067415730337,669.3483146067416,14.014774969072628,0,5.0,0.6831683168316832,11296.712890625,3203.1171999455987,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,8093.595690679402,257.62715231177793,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
119,0,1032,527.2530120481928,842.3373493975904,14.356806484901515,0,5.1000000000000005,0.6699029126213593,10545.8046875,4397.251640782952,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,6148.553046717048,191.87698240151988,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
120,0,1043,528.0972222222222,699.8194444444445,11.861952786079513,0,4.5,0.6987951807228916,9727.8876953125,3239.182935257787,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,6488.704760054713,229.49098596147073,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
121,0,1050,527.1153846153846,947.2692307692307,10.38419191968816,0,4.300000000000001,0.7121212121212122,7004.6640625,2782.8106305968017,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,4221.853431903199,156.26252155741315,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
125,0,1082,537.7411764705882,923.5764705882353,11.622885296024378,0,5.1000000000000005,0.6893203883495146,11379.3828125,4291.177437777668,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,7088.205374722332,221.2005731446273,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
127,0,1093,539.7619047619048,943.4126984126984,11.570465339900784,0,4.300000000000001,0.6756756756756757,11896.2021484375,2866.7486688193676,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,9029.453479618132,334.205152255707,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
141,0,1271,603.6621621621622,884.972972972973,11.095832935557775,0,5.1000000000000005,0.6804123711340206,11137.42578125,4414.990227270053,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,6722.435553979947,209.78604863384555,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
142,0,1286,609.7678571428571,848.2321428571429,9.924793479390692,0,4.5,0.6666666666666666,7944.76220703125,3560.1549930667875,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,4384.607213964462,155.07375813751727,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
146,0,1331,640.046511627907,838.046511627907,9.096738238904557,0,3.2,0.7391304347826086,4322.8759765625,2196.036949266493,32.169908772759484,20.106192982974676,256.0,804.247719318987,2126.839027296007,105.78029511091188,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
147,0,1341,645.0714285714286,812.3809523809524,8.350858111156521,0,3.7,0.7058823529411765,4896.564453125,2657.506163376616,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2239.058289748384,96.31275532009205,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
149,0,1368,673.28,855.1,9.446953696507258,0,4.2,0.7258064516129032,6510.0263671875,2923.71113737911,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,3586.31522980839,135.89995150232187,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
0,0,1,172.45454545454547,714.6969696969697,7.727077901975326,1,3.2,0.6666666666666666,5718.505859375,1843.5007172624764,32.169908772759484,20.106192982974676,256.0,804.247719318987,3875.0051421125236,192.72694464803766,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
2,0,14,224.10256410256412,740.3589743589744,7.475931136058225,1,3.2,0.9,6587.9736328125,2254.5204925262924,32.169908772759484,20.106192982974676,256.0,804.247719318987,4333.453140286208,215.52827747926455,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
5,0,18,227.53125,765.09375,7.729828636537727,1,3.2,0.7692307692307693,7575.982421875,1951.7491229456664,32.169908772759484,20.106192982974676,256.0,804.247719318987,5624.233298929334,279.72641582082525,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
6,0,20,233.48648648648648,775.2702702702703,7.932636944075832,1,3.2,0.8048780487804879,7612.93115234375,2011.7140656930953,32.169908772759484,20.106192982974676,256.0,804.247719318987,5601.217086650655,278.5816833347615,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
7,0,21,235.13888888888889,675.3055555555555,7.918748868914864,1,3.2,0.7804878048780488,6827.06640625,2099.0553732985254,32.169908772759484,20.106192982974676,256.0,804.247719318987,4728.011032951475,235.15197715226415,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
8,0,26,247.74074074074073,742.1851851851852,9.280330542017728,1,4.2,0.7619047619047619,11191.47265625,3089.809517745674,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,8101.663138504326,307.00469899008624,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
11,0,31,255.04,653.82,9.29909041050956,1,4.5,0.7,11748.25,3848.715093075335,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,7899.534906924665,279.3888952364524,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
12,0,36,258.53246753246754,703.5974025974026,11.556225292308559,1,5.1000000000000005,0.7473684210526316,16449.0390625,4999.348380991443,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,11449.690681508557,357.30879781084286,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
15,0,59,295.56756756756755,735.5945945945946,8.023176266664832,1,3.2,0.6818181818181818,7242.25830078125,2298.347097359747,32.169908772759484,20.106192982974676,256.0,804.247719318987,4943.911203421503,245.8899706974791,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
16,0,61,304.31111111111113,877.2444444444444,9.355844557167298,1,3.2,0.7446808510638298,6313.693359375,2075.170000784546,32.169908772759484,20.106192982974676,256.0,804.247719318987,4238.523358590453,210.80685747816648,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
19,0,78,331.5,803.0217391304348,9.107137027440151,1,4.2,0.7166666666666667,8868.744140625,3262.2457764894516,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,5606.498364135548,212.45284002114226,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
20,0,85,342.81481481481484,839.1296296296297,8.701744865319627,1,4.300000000000001,0.7692307692307693,10047.365234375,3321.201300544441,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,6726.1639338305595,248.95400886408407,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
25,0,102,385.6756756756757,842.8783783783783,12.356190314927899,1,4.5,0.7023809523809523,12654.43359375,3802.8961962688345,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,8851.537397481166,313.05909572708856,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
