,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
22,0,206,461.9066666666667,395.6933333333333,11.770949557928697,0,5.4,0.6862745098039216,7841.46142578125,3884.5109978637092,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,3956.9504279175408,116.62374447641984,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
26,0,232,463.9189189189189,605.3243243243244,8.973543803728413,0,4.0,0.6538461538461539,4084.4609375,1779.4400754629821,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,2305.0208620370177,91.71386603078327,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
46,0,386,496.34285714285716,665.0571428571428,8.799034363959144,0,3.2,0.6744186046511628,2678.142822265625,1375.6551216292382,32.169908772759484,20.106192982974676,256.0,804.247719318987,1302.4877006363868,64.78042371021179,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
13,0,112,430.95535714285717,392.7142857142857,14.630259625895857,1,5.9,0.7131782945736435,11485.1572265625,3264.7310264425723,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,8220.426200119928,221.749400690036,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
20,0,163,443.6585365853659,588.1463414634146,8.541033614932212,1,4.0,0.6981132075471698,4150.4853515625,1829.7066658826172,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,2320.778685679883,92.34084991206636,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
36,0,302,470.4054054054054,378.14864864864865,13.296951761818006,1,5.0,0.6666666666666666,7144.8564453125,2824.892113510072,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,4319.964331802428,137.50873547740662,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
37,0,303,467.7291666666667,417.4166666666667,10.247443084206223,1,4.300000000000001,0.703125,5686.8447265625,2478.3457505794618,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,3208.4989759830382,118.75545858906625,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
39,0,371,481.64285714285717,523.4047619047619,9.76496177427264,1,3.7,0.7058823529411765,4029.621826171875,1670.7850324988367,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2358.8367936730383,101.46500963786521,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
70,0,673,539.4615384615385,657.0,9.533305622263248,1,3.2,0.6521739130434783,3090.009765625,1542.6036924096197,32.169908772759484,20.106192982974676,256.0,804.247719318987,1547.4060732153803,76.96166422582722,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
75,0,773,564.204081632653,456.2857142857143,10.423793787719196,1,4.2,0.7096774193548387,4859.1357421875,2317.324294571579,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,2541.811447615921,96.31948959420001,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
