Distance_(microns),Gray_Value
0.00000,60.775
0.04000,46.208
0.08000,38.603
0.12000,48.394
0.16000,49.249
0.20000,50.891
0.24000,48.022
0.28000,38.949
0.32000,53.047
0.36000,59.660
0.40000,58.033
0.44000,67.186
0.48000,75.025
0.52000,58.841
0.56000,42.038
0.60000,43.543
0.64000,77.896
0.68000,133.984
0.72000,159.866
0.76000,195.339
0.80000,221.332
0.84000,159.467
0.88000,68.473
0.92000,70.573
0.96000,84.496
1.00000,48.643
1.04000,14.657
1.08000,26.716
1.12000,43.562
1.16000,35.500
1.20000,38.220
1.24000,47.433
1.28000,47.036
1.32000,41.634
1.36000,39.605
1.40000,30.291
1.44000,31.464
1.48000,52.825
1.52000,50.892
1.56000,22.734
1.60000,20.460
1.64000,44.214
1.68000,68.517
1.72000,60.180
1.76000,43.474
1.80000,28.487
1.84000,32.236
1.88000,41.202
1.92000,55.494
1.96000,53.242
2.00000,48.851
2.04000,50.123
2.08000,47.380
2.12000,45.489
2.16000,50.220
2.20000,47.600
2.24000,43.420
2.28000,49.374
2.32000,54.298
2.36000,43.591
2.40000,44.550
2.44000,53.165
2.48000,61.494
2.52000,72.634
2.56000,66.876
2.60000,48.723
2.64000,53.867
2.68000,78.379
2.72000,85.065
2.76000,92.791
2.80000,126.981
2.84000,140.467
2.88000,141.176
2.92000,196.395
2.96000,266.298
3.00000,226.243
3.04000,126.485
3.08000,58.315
3.12000,41.132
3.16000,48.004
3.20000,64.920
3.24000,60.148
3.28000,41.802
3.32000,32.396
3.36000,32.524
3.40000,51.069
3.44000,58.364
3.48000,70.094
3.52000,92.810
3.56000,73.935
3.60000,50.933
3.64000,56.614
3.68000,61.065
3.72000,90.450
