Distance_(microns),Gray_Value
0.00000,172.341
0.04000,190.963
0.08000,201.681
0.12000,201.358
0.16000,179.165
0.20000,147.211
0.24000,148.231
0.28000,187.656
0.32000,210.735
0.36000,186.917
0.40000,157.869
0.44000,165.111
0.48000,187.953
0.52000,190.198
0.56000,178.972
0.60000,177.304
0.64000,175.472
0.68000,156.808
0.72000,149.513
0.76000,193.261
0.80000,257.151
0.84000,260.745
0.88000,192.912
0.92000,134.862
0.96000,137.430
1.00000,155.935
1.04000,143.018
1.08000,122.458
1.12000,126.037
1.16000,134.104
1.20000,124.458
1.24000,115.424
1.28000,123.386
1.32000,132.570
1.36000,132.346
1.40000,135.917
1.44000,146.557
1.48000,148.233
1.52000,137.351
1.56000,127.933
1.60000,125.905
1.64000,127.117
1.68000,131.559
1.72000,137.184
1.76000,136.630
1.80000,133.503
1.84000,136.579
1.88000,136.084
1.92000,121.572
1.96000,113.350
2.00000,130.258
2.04000,146.863
2.08000,134.494
2.12000,114.167
2.16000,116.724
2.20000,130.783
2.24000,136.710
2.28000,143.037
2.32000,152.457
2.36000,146.378
2.40000,127.127
2.44000,120.581
2.48000,129.139
2.52000,133.923
2.56000,135.661
2.60000,146.726
2.64000,159.920
2.68000,160.403
2.72000,146.745
2.76000,124.490
2.80000,108.493
2.84000,129.231
2.88000,195.693
2.92000,260.009
2.96000,263.032
3.00000,207.463
3.04000,149.352
3.08000,130.154
3.12000,149.266
3.16000,185.642
3.20000,212.826
3.24000,207.839
3.28000,176.017
3.32000,153.899
3.36000,163.681
3.40000,183.625
3.44000,185.604
3.48000,176.282
3.52000,176.172
3.56000,184.747
3.60000,190.727
3.64000,191.503
3.68000,184.345
3.72000,165.616
