 ,Area,Mean,Min,Max,IntDen,RawIntDen,MinThr,MaxThr
1,59.136,31.889,0,214.792,1885.807,1178629.588,-3.40E+38,3.40E+38
2,39.648,27.953,0,161.316,1108.297,692685.922,-3.40E+38,3.40E+38
3,75.392,26.32,0,219.723,1984.355,1240221.934,-3.40E+38,3.40E+38
4,46.515,28.47,0,164.928,1324.286,827678.885,-3.40E+38,3.40E+38
5,67.392,28.029,0,256.432,1888.948,1180592.785,-3.40E+38,3.40E+38
6,48.538,25.443,0,266.627,1234.932,771832.452,-3.40E+38,3.40E+38
7,117.338,25.495,0,219.852,2991.544,1869714.822,-3.40E+38,3.40E+38
8,65.805,27.719,0,140.461,1824.046,1140028.583,-3.40E+38,3.40E+38
9,64.41,32.404,0,231.971,2087.118,1304448.758,-3.40E+38,3.40E+38
10,85.408,25.606,0,275.345,2186.995,1366871.832,-3.40E+38,3.40E+38
11,91.52,25.021,0,148.244,2289.95,1431218.695,-3.40E+38,3.40E+38
12,78.81,27.781,0,242.572,2189.387,1368367.138,-3.40E+38,3.40E+38
13,60.192,24.413,0,185.623,1469.45,918405.971,-3.40E+38,3.40E+38
14,87.245,27.433,0,324.486,2393.389,1495868.226,-3.40E+38,3.40E+38
15,97.011,26.464,0,231.346,2567.285,1604552.995,-3.40E+38,3.40E+38
16,99.622,25.758,0,206.079,2566.096,1603809.968,-3.40E+38,3.40E+38
17,93.696,26.663,0,228.102,2498.22,1561387.682,-3.40E+38,3.40E+38
18,100.762,20.676,0,130.879,2083.369,1302105.385,-3.40E+38,3.40E+38
19,117.363,19.506,0,114.881,2289.261,1430788.153,-3.40E+38,3.40E+38
20,188.448,18.885,0,201.112,3558.902,2224313.893,-3.40E+38,3.40E+38
21,114.266,19.507,0,159.829,2229.035,1393147.167,-3.40E+38,3.40E+38
22,93.818,24.733,0,143.964,2320.396,1450247.77,-3.40E+38,3.40E+38
23,147.258,23.193,0,228.362,3415.407,2134629.647,-3.40E+38,3.40E+38
24,116.256,23.734,0,195.214,2759.171,1724482.024,-3.40E+38,3.40E+38
25,87.04,22.4,0,218.754,1949.726,1218578.898,-3.40E+38,3.40E+38
26,306.979,20.042,0,317.37,6152.33,3845206.045,-3.40E+38,3.40E+38
27,385.877,19.682,0,397.682,7594.957,4746847.902,-3.40E+38,3.40E+38
28,69.466,20.389,0,155.747,1416.313,885195.914,-3.40E+38,3.40E+38
1,122.355,10.61,0,175.388,1298.182,811364.047,-3.40E+38,3.40E+38
2,34.048,19.301,0,200.425,657.152,410720.137,-3.40E+38,3.40E+38
3,123.802,14.345,0,151.979,1775.92,1109949.912,-3.40E+38,3.40E+38
4,95.872,11.778,0,150.822,1129.165,705727.989,-3.40E+38,3.40E+38
5,82.118,38.755,0,249.358,3182.532,1989082.203,-3.40E+38,3.40E+38
6,145.022,12.125,0,207.726,1758.442,1099026.27,-3.40E+38,3.40E+38
7,5.907,17.607,0,65.735,104.008,65005.133,-3.40E+38,3.40E+38
8,3.83,11.756,0,82.034,45.03,28143.875,-3.40E+38,3.40E+38
9,15.638,11.645,0,139.669,182.111,113819.335,-3.40E+38,3.40E+38
10,5.642,10.517,0,79.246,59.335,37084.678,-3.40E+38,3.40E+38
11,13.243,15.554,0,131.095,205.981,128737.835,-3.40E+38,3.40E+38
12,17.57,13.396,0,108.127,235.358,147098.827,-3.40E+38,3.40E+38
13,143.43,15.839,0,252.457,2271.769,1419855.623,-3.40E+38,3.40E+38
14,140.557,11.274,0,132.367,1584.573,990357.883,-3.40E+38,3.40E+38
15,144.323,13.283,0,148.809,1917.11,1198193.877,-3.40E+38,3.40E+38
16,6.776,18.653,0,140.628,126.392,78994.973,-3.40E+38,3.40E+38
17,100.787,11.779,0,146.8,1187.163,741976.948,-3.40E+38,3.40E+38
18,6.656,18.006,0,101.741,119.847,74904.483,-3.40E+38,3.40E+38
19,10.349,13.109,0,45.133,135.665,84790.831,-3.40E+38,3.40E+38
20,8.76,18.61,0,92.512,163.024,101889.898,-3.40E+38,3.40E+38
21,17.152,17.105,0,155.204,293.382,183363.451,-3.40E+38,3.40E+38
22,130.867,11.942,0,135.046,1562.798,976748.534,-3.40E+38,3.40E+38
23,133.2,17.146,0,152.341,2283.79,1427368.999,-3.40E+38,3.40E+38
24,99.11,13.67,0,128.957,1354.886,846803.459,-3.40E+38,3.40E+38
25,127.874,15.245,0,298.476,1949.459,1218411.819,-3.40E+38,3.40E+38
26,14.56,19.307,0,249.282,281.114,175696.305,-3.40E+38,3.40E+38
27,152.667,14.953,0,305.248,2282.833,1426770.451,-3.40E+38,3.40E+38
28,150.57,16.873,0,227.792,2540.574,1587858.738,-3.40E+38,3.40E+38
29,15.226,16.823,0,75.112,256.147,160091.899,-3.40E+38,3.40E+38
30,10.035,14.49,0,112.455,145.407,90879.638,-3.40E+38,3.40E+38
,,20.01903448,,,,,,
