,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,5,800,706,3.265986324,3.265986324,9,"(799, 705, 802, 708)",7671.3667,3.265986324,0.13105336,0.115384615,0.325603065,0.106017356,1
0,6,896.5,712,6.201736729,5.203549085,26,"(894, 710, 900, 715)",17448.115,5.702642907,0.2980739,0.333333333,0.56852596,0.323221767,1
0,7,903.4137931,805.2758621,6.278954609,5.818841337,29,"(901, 803, 907, 809)",19033.582,6.048897973,0.32515913,0.371794872,0.603045918,0.363664379,1
0,9,924.8,735.24,6.132060986,5.172642271,25,"(923, 733, 928, 739)",14656.372,5.652351628,0.25038132,0.320512821,0.563512162,0.317545957,1
0,11,938.3243243,743.9459459,7.646679095,6.12603451,37,"(936, 741, 942, 748)",21578.914,6.886356802,0.36864215,0.474358974,0.686536519,0.471332392,1
0,13,972.3913043,804.2173913,6.013934515,4.820294405,23,"(970, 802, 976, 807)",13738.781,5.41711446,0.2347057,0.294871795,0.540060152,0.291664968,1
0,16,997.9811321,735.0377358,9.058162996,7.635349485,53,"(994, 731, 1002, 740)",37089.34,8.34675624,0.63361365,0.679487179,0.83213129,0.692442484,1
0,17,1056.935897,479.8205128,10.76053644,9.300615773,78,"(1052, 475, 1063, 485)",58536.207,10.03057611,1,1,1,1,1
0,2,765.3333333,876.1111111,3.885753375,2.795442891,9,"(764, 875, 768, 878)",7668.5957,3.340598133,0.11547397,0.116883117,0.332330545,0.110443591,2
0,5,798.9354839,725.7096774,10.511307,7.643285498,62,"(795, 721, 804, 732)",51553.75,9.077296251,0.7762981,0.805194805,0.903030742,0.815464522,2
0,7,806.987013,670.987013,11.61229791,8.491771259,77,"(803, 666, 812, 677)",66409.734,10.05203458,1,1,1,1,2
0,8,805.9259259,641.7407407,6.518057778,5.296733823,27,"(804, 639, 809, 645)",20066.752,5.907395801,0.30216584,0.350649351,0.587681603,0.345369667,2
0,9,816.0625,722.8125,7.986118965,7.676603234,48,"(813, 719, 821, 727)",41378.55,7.831361099,0.6230796,0.623376623,0.779082188,0.606969056,2
0,10,829.5,694.3076923,6.672993872,4.941446989,26,"(827, 692, 833, 698)",21027.582,5.807220431,0.31663403,0.337662338,0.577715922,0.333755687,2
0,11,831.1851852,660.4074074,6.012333004,5.739665371,27,"(829, 658, 835, 664)",21354.543,5.875999187,0.32155743,0.350649351,0.584558195,0.341708283,2
0,12,833.8888889,867.6666667,3.885753375,2.795442891,9,"(833, 866, 836, 870)",8141.2886,3.340598133,0.12259179,0.116883117,0.332330545,0.110443591,2
0,13,858.9534884,594.372093,7.931014278,6.925707675,43,"(856, 591, 863, 599)",34565.305,7.428360977,0.5204855,0.558441558,0.73899079,0.546107388,2
0,16,903.4210526,976.1052632,5.544698234,4.295695217,19,"(902, 974, 906, 979)",14967.686,4.920196725,0.22538391,0.246753247,0.489472722,0.239583545,2
0,4,67.32258065,461.2580645,9.91930674,7.97007064,62,"(63, 458, 73, 466)",67100.18,8.94468869,1,1,1,1,3
0,5,76.05,9.1,5.215361924,4.795831523,20,"(74, 7, 79, 12)",22050.969,5.005596724,0.32862756,0.322580645,0.55961665,0.313170795,3
0,7,84.18181818,423.5909091,8.480048798,6.589963229,44,"(81, 420, 88, 428)",52961.39,7.535006013,0.78928834,0.709677419,0.842400029,0.709637809,3
0,9,88.3,237.3,4,3.14960315,10,"(87, 236, 91, 240)",11734.336,3.574801575,0.17487787,0.161290323,0.399656343,0.159725193,3
0,12,114.0204082,193.3469388,8.872507235,7.114168495,49,"(110, 190, 119, 198)",47462.633,7.993337865,0.7073399,0.790322581,0.8936407,0.798593701,3
0,15,124,187.2857143,3.023715784,2.799416849,7,"(123, 186, 126, 189)",7340.2734,2.911566316,0.109392755,0.112903226,0.325507842,0.105955355,3
0,18,151.1578947,116.1578947,5.271572221,4.500538595,19,"(149, 114, 154, 119)",20886.354,4.886055408,0.3112712,0.306451613,0.546252148,0.298391409,3
0,19,161,415.8,3.919183588,3.098386677,10,"(160, 414, 163, 418)",10587.722,3.508785133,0.15778977,0.161290323,0.392275825,0.153880323,3
0,21,176.7,414.9,6.727456879,5.756850176,30,"(174, 412, 181, 418)",29237.943,6.242153527,0.4357357,0.483870968,0.697861462,0.48701062,3
0,23,186.2173913,347.6086957,6.013934515,4.820294405,23,"(184, 345, 189, 351)",31814.55,5.41711446,0.4741351,0.370967742,0.605623588,0.366779931,3
0,28,246.6666667,305.8,6.3174863,6.050200196,30,"(244, 303, 250, 309)",32620.186,6.183843248,0.48614156,0.483870968,0.691342478,0.477954422,3
0,30,255.4727273,308.9272727,9.092221077,7.689336515,55,"(252, 305, 260, 314)",65241.945,8.390778796,0.97230655,0.887096774,0.938073877,0.879982598,3
0,31,254.4117647,297.1176471,5.181899763,4.04120104,17,"(253, 295, 257, 300)",21656.412,4.611550402,0.32274744,0.274193548,0.515562985,0.265805192,3
0,34,333.2857143,229.5,4.208834246,4.120630029,14,"(332, 228, 336, 232)",14826.078,4.164732138,0.22095437,0.225806452,0.465609512,0.216792218,3
0,35,336.3846154,239.3846154,4.318667338,3.679464844,13,"(335, 238, 339, 242)",11662.368,3.999066091,0.17380533,0.209677419,0.447088348,0.199887991,3
0,36,354.5,207.5,3.829708431,3.829708431,12,"(353, 206, 357, 210)",12150.979,3.829708431,0.18108712,0.193548387,0.428154468,0.183316249,3
0,39,507.5,167,6.201736729,5.203549085,26,"(505, 165, 511, 170)",26981.24,5.702642907,0.40210384,0.419354839,0.637545152,0.40646382,3
0,40,511.8163265,103.5306122,8.61238036,7.281980344,49,"(508, 100, 516, 108)",51781.836,7.947180352,0.7717093,0.790322581,0.888480374,0.789397375,3
0,1,60.21428571,265.3571429,4.74287342,3.686025552,14,"(58, 264, 63, 268)",7327.727,4.214449486,0.14229892,0.191780822,0.436083555,0.190168867,4
0,12,107.32,217.84,5.848917439,5.504740212,25,"(105, 215, 111, 221)",10261.388,5.676828825,0.1992684,0.342465753,0.587400966,0.345039894,4
0,26,179.88,98.52,6.639595535,5.306502721,25,"(177, 96, 183, 102)",13359.317,5.973049128,0.25942785,0.342465753,0.618051897,0.381988148,4
0,27,180.125,415.125,3.464101615,2.738612788,8,"(179, 414, 182, 417)",4597.604,3.101357201,0.089282,0.109589041,0.320908076,0.102981993,4
0,28,185.7727273,113.8181818,5.99805493,4.645110985,22,"(184, 111, 189, 117)",11419.252,5.321582958,0.22175325,0.301369863,0.550642456,0.303207115,4
0,32,200.8809524,115.5238095,7.543284564,7.185049414,42,"(197, 112, 205, 120)",24114.309,7.364166989,0.46828166,0.575342466,0.761995638,0.580637352,4
0,33,206.0175439,305.7368421,9.653776874,7.493181873,57,"(202, 302, 211, 310)",34174.46,8.573479374,0.6636422,0.780821918,0.887127341,0.78699492,4
0,35,218.68,349,6.104680791,5.258751985,25,"(216, 346, 222, 352)",15558.405,5.681716388,0.3021325,0.342465753,0.587906699,0.345634286,4
0,36,224.125,295.125,3.464101615,2.738612788,8,"(223, 294, 226, 297)",4390.9175,3.101357201,0.085268304,0.109589041,0.320908076,0.102981993,4
0,37,225.2,97,3.919183588,3.098386677,10,"(224, 96, 228, 99)",5130.2017,3.508785133,0.09962464,0.136986301,0.363066042,0.131816951,4
0,39,234.8461538,292,7.163351832,6.898531988,39,"(232, 289, 239, 296)",22773.709,7.03094191,0.44224823,0.534246575,0.727515695,0.529279086,4
0,40,242.0227273,232.4772727,8.458014221,7.216774221,44,"(238, 229, 246, 237)",16659.193,7.837394221,0.32350895,0.602739726,0.810962084,0.657659501,4
0,45,277.6363636,95.45454545,4,3.468869823,11,"(276, 94, 280, 98)",4673.6104,3.734434912,0.09075798,0.150684932,0.3864148,0.149316397,4
0,46,277.8421053,287.1578947,5.271572221,4.500538595,19,"(276, 285, 281, 290)",11149.371,4.886055408,0.21651237,0.260273973,0.505576926,0.255608028,4
0,48,295.5666667,308.2,6.899688586,5.509070064,30,"(293, 306, 299, 312)",12248.726,6.204379325,0.237861,0.410958904,0.641988427,0.41214914,4
0,50,308.875,32.20833333,5.844265833,5.250407517,24,"(306, 30, 312, 35)",14493.117,5.547336675,0.28144538,0.328767123,0.574001968,0.32947826,4
0,51,315.1917808,280.4657534,10.02898339,9.299649549,73,"(311, 276, 321, 286)",51495.31,9.664316468,1,1,1,1,4
0,52,315.0769231,253.5641026,7.636726222,6.475356997,39,"(312, 251, 319, 257)",28454.408,7.05604161,0.55256313,0.534246575,0.730112847,0.533064769,4
