Distance_(microns),Gray_Value
0.00000,81.611
0.04000,82.800
0.08000,86.118
0.12000,79.314
0.16000,79.644
0.20000,80.217
0.24000,57.047
0.28000,49.412
0.32000,80.845
0.36000,129.049
0.40000,89.593
0.44000,22.158
0.48000,32.413
0.52000,164.202
0.56000,396.812
0.60000,338.100
0.64000,124.940
0.68000,4.780
0.72000,16.238
0.76000,42.407
0.80000,33.501
0.84000,19.097
0.88000,16.741
0.92000,12.489
0.96000,17.171
1.00000,24.475
1.04000,24.448
1.08000,29.622
1.12000,39.428
1.16000,51.569
1.20000,36.034
1.24000,19.238
1.28000,20.098
1.32000,39.872
1.36000,46.741
1.40000,41.812
1.44000,41.165
1.48000,34.338
