,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
0,0,3,268.7241379310345,559.0344827586207,6.820469681665306,0,2.9000000000000004,0.7419354838709677,10449.818359375,2594.5056515585748,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,7855.312707816425,1,0.33325181746846516,0.6744186046511628
31,0,153,663.1,524.0333333333333,7.115392322911024,4,3.0,0.84375,13200.408203125,1820.620607601013,28.274333882308134,18.84955592153876,240.0,753.9822368615504,11379.787595523989,1,0.48277325673361204,0.6976744186046511
30,0,144,646.45,606.475,8.37269894442496,4,3.2,0.7906976744186046,16378.7353515625,2470.4246979751624,32.169908772759484,20.10619298297468,256.0,804.247719318987,13908.310653587338,1,0.5900426852023309,0.7441860465116278
22,0,98,485.58,691.7,8.521386859112768,4,4.300000000000001,0.7619047619047619,23335.48046875,3961.504143966362,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,19373.97632478364,1,0.8219167157280337,1.0
19,0,74,435.8048780487805,309.4634146341463,8.296098909656575,4,3.7,0.72,16317.7421875,2714.9305716343224,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,13602.811615865678,1,0.5770822705960089,0.8604651162790696
18,0,99,486.4909090909091,691.8363636363637,8.80120202158736,3,4.300000000000001,0.7575757575757576,27877.697265625,4329.354971642839,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,23548.34229398216,1,0.9990089713462842,1.0
7,0,43,378.09090909090907,517.8484848484849,7.048034315321432,3,3.2,0.7073170731707317,12901.5,2967.2268854276044,32.169908772759484,20.10619298297468,256.0,804.247719318987,9934.273114572396,1,0.4214491126960656,0.7441860465116278
29,0,149,664.4230769230769,523.6538461538462,6.313049381243792,2,3.0,0.71875,11851.478515625,1787.4012008579448,28.274333882308134,18.84955592153876,240.0,753.9822368615504,10064.077314767055,1,0.4269558935511253,0.6976744186046511
17,0,93,467.5925925925926,728.4444444444445,6.435808454486937,2,3.2,0.7297297297297297,12742.99609375,2823.5355434296653,32.169908772759484,20.10619298297468,256.0,804.247719318987,9919.460550320337,1,0.42082070818284295,0.7441860465116278
15,0,78,434.4634146341463,305.2926829268293,9.06277638812884,2,4.0,0.7307692307692307,17803.9296875,3937.64665766689,50.26548245743669,25.132741228718345,320.0,1005.309649148734,13866.28302983311,1,0.5882597158259443,0.9302325581395348
