,intensity,area,perimeter,label,frame,nor_intensity,nor_length,cells,length(um)
0,12671230,681,383.8313071904254,0,1,0.29599656,0.325388207,1,7.676626144
1,3961304,210,128.53859767684358,2,1,0.092535007,0.108966994,1,2.570771954
2,5196309,291,177.5681829809803,5,1,0.121384395,0.150531214,1,3.55136366
3,7496781,315,154.68000318462265,0,2,0.175122809,0.131128045,1,3.093600064
4,40761009,2039,1013.6652989547763,1,2,0.95216632,0.859322124,1,20.27330598
5,42808707,2260,1179.6103824691897,0,4,1,1,1,23.59220765
0,14396623,1526,443.70536547819603,0,0,1,0.9225526463417436,2,8.87410731
1,10004547,1108,401.4912058852272,0,1,0.6949231774701609,0.8347809228611993,2,8.029824118
2,8439871,875,282.58430400199916,0,2,0.5862396341141947,0.5875495717540404,2,5.65168608
3,4845625,542,202.24084861744336,1,2,0.33658066895271205,0.42049937775564467,2,4.044816972
4,12783879,1385,480.9539783313711,0,3,0.8879776180844633,1,2,9.619079567
5,5818803,652,297.7369069026783,1,4,0.40417832709795903,0.6190548790877064,2,5.954738138
6,10982470,1119,280.0770082078765,2,4,0.7628504267980067,0.5823363997935516,2,5.601540164
0,10666000,876,310.5891318,2,0,0.9493721869196878,0.9662130258180998,3,6.211782636
1,4939947,404,168.87298665469257,10,0,0.4397007581715124,0.5253476786094772,3,3.377459733
2,6292397,548,240.5838339223408,4,1,0.5600812582839755,0.7484332525041989,3,4.811676678
3,7998444,588,212.06311396108785,8,1,0.7119351464686532,0.6597080258073281,3,4.241262279
4,7329659,544,195.3233664507966,0,2,0.6524071249020787,0.6076322754505087,3,3.906467329
5,11234793,801,269.1998386586082,2,2,1,0.8374549010051264,3,5.383996773
6,8925974,650,247.89880347186266,6,2,0.7944938549379592,0.7711894217889773,3,4.957976069
7,6657750,535,221.31367065464536,0,3,0.5926010385772128,0.6884856212124649,3,4.426273413
8,3218111,275,131.1806464920794,15,3,0.28644150363963095,0.4080904203703167,3,2.62361293
9,10757548,893,321.4499531,0,4,0.9575208016738715,1,3,6.428999062
0,14951,403,168.0317719623793,0,0,0.5349194991055456,0.6614194067535131,4,3.360635439
1,10157,257,105.47619661327411,5,0,0.3633989266547406,0.41518340594651443,4,2.109523932
2,15969,444,223.89990294096538,6,0,0.5713416815742397,0.8813317817569571,4,4.477998059
3,27950,688,254.04723575792906,1,1,1,1,4,5.080944715
4,17040,432,187.18353049177867,4,2,0.6096601073345259,0.7368060114227655,4,3.74367061
0,9853092,2455,624.0108820494268,8,0,0.4946021454077576,0.6002870283620383,5,12.48021764
1,2705447,752,235.81562841304026,14,0,0.13580710405291876,0.22685031125815866,5,4.716312568
2,7592450,1878,524.9131555183467,17,0,0.3811232107546676,0.504956832,5,10.49826311
3,5900355,1355,298.6175898410902,12,1,0.2961840041346807,0.28726464678566854,5,5.972351797
4,18119578,3566,674.7296684186543,18,1,0.9095603849718652,0.6490775710072564,5,13.49459337
5,19921248,4515,1039.5208501375118,25,2,1,1,5,20.790417
6,2714227,618,166.32622261447125,22,2,0.1362478394927868,0.1600027768490348,5,3.326524452
7,16935540,3427,669.8661781343392,34,3,0.8501244500344557,0.6443989825174999,5,13.39732356
8,4359874,1108,315.4526221263959,39,3,0.21885546528008687,0.30345963920268326,5,6.309052443
9,13394568,2902,664.8284665828124,27,3,0.672375948,0.6395527963627342,5,13.29656933
10,4557416,916,208.40562918632693,25,4,0.22877161109585104,0.2004823945173954,5,4.168112584
11,3406920,887,239.89372053395783,29,4,0.17101940601311724,0.23077336111365515,5,4.797874411
12,6924899,1529,342.7278683319961,35,4,0.3476137137592986,0.3296979260076012,5,6.854557367
13,2200302,578,165.21550187993165,39,4,0.11045000795130908,0.1589342838655678,5,3.304310038
14,3348896,802,184.3114438804152,37,4,0.16810673708795754,0.1773042299786808,5,3.686228878
15,8786701,2027,455.4632179658763,27,4,0.44107181437628806,0.4381472655460695,5,9.109264359
0,20360753,652,201.51126698296173,3,1,0.34268129749488535,0.46739281156092916,6,4.03022534
1,59416003,1796,431.1389948638369,2,2,1,1,6,8.622779897
2,49298084,1595,367.0520914340355,3,2,0.8297105411146556,0.851354426,6,7.341041829
3,21649418,654,183.33547616698877,3,3,0.3643701512536951,0.42523519874348203,6,3.666709523
4,13911794,451,138.40033126658676,4,3,0.2341422057623095,0.3210109336324278,6,2.768006625
5,38472854,1235,350.8118877620983,2,4,0.6475166968064142,0.8136862866530835,6,7.016237755
0,6235582,929,306.48791975788185,6,0,0.2122332488121408,0.2807702767834041,7,6.129758395
1,11307160,1376,285.1147197594033,4,0,0.38484864791108286,0.26119051884690697,7,5.702294395
2,9222141,1198,309.4784111075413,4,1,0.31388328233573787,0.2835098336462833,7,6.189568222
3,26595446,2920,632.8408313968276,1,2,0.9051982490468179,0.5797386583180575,7,12.65681663
4,29380797,3823,1091.596743320224,2,3,1,1,7,21.83193487
5,18919894,2561,661.2267983369674,7,4,0.643954417,0.6057427363934467,7,13.22453597
0,2638308,252,106.7216703689269,0,0,0.060066486,0.12495238802953096,8,2.134433407
