,intensity,area,perimeter,label,frame,cells,background,final_intensity
0,136376.03125,498.0,182.1852871863505,0.0,0.0,1,17150.33896766968,119225.69228233032
1,164816.375,601.0,190.72938220870796,1.0,0.0,1,20697.497428854374,144118.87757114563
2,984343.5625,3351.0,884.761910460692,2.0,0.0,1,115403.18449931947,868940.3780006806
3,387239.25,1456.0,490.092901967097,0.0,1.0,1,50142.35649985352,337096.89350014646
4,1165953.875,4106.0,1171.9633186680612,1.0,1.0,1,141404.20040411988,1024549.6745958801
5,188616.28125,754.0,308.9230507402716,0.0,2.0,1,25966.57747313843,162649.70377686157
6,69745.75,246.0,75.043009471267,4.0,2.0,1,8471.854188848878,61273.895811151124
7,147517.78125,496.0,151.29202445208807,8.0,2.0,1,17081.462104345705,130436.3191456543
8,792982.6875,2921.0,796.6924547828105,9.0,2.0,1,100594.65888466492,692388.0286153351
9,191704.875,727.0,262.63079902638515,2.0,2.0,1,25036.739818264774,166668.1351817352
10,928965.1875,3545.0,1010.3658333167918,5.0,3.0,1,122084.240241745,806880.947258255
11,317477.1875,1193.0,403.9821533965327,1.0,3.0,1,41085.04897275086,276392.13852724916
12,1417996.875,5685.0,1716.6461812924576,2.0,4.0,1,195782.48399839786,1222214.3910016022
0,265879.8125,1052.0,332.438755715632,0.0,0.0,2,32761.234304458005,233118.57819554198
1,162006.8125,618.0,205.72411212499244,0.0,1.0,2,19245.668060983884,142761.14443901612
2,272157.875,978.0,282.64012053091494,2.0,1.0,2,30456.736834372554,241701.13816562743
3,373826.25,1576.0,566.3187969846366,0.0,2.0,2,49079.567741279294,324746.6822587207
0,66560.359375,296.0,141.35135437014756,7.0,0.0,3,10656.28593383203,55904.07344116797
1,358828.0625,1523.0,454.6546998391973,8.0,0.0,3,54829.47120684521,303998.5912931548
2,262100.625,1191.0,449.1963809415138,3.0,1.0,3,42877.15049727685,219223.47450272314
3,167908.171875,746.0,262.79824861313256,5.0,2.0,3,26856.720630536132,141051.45124446385
0,608924.125,2721.0,831.5521765801587,0.0,0.0,4,96730.35368584418,512193.77131415583
1,613694.6875,2757.0,957.0049981323284,0.0,1.0,4,98010.1378580935,515684.5496419065
2,404239.9375,1794.0,608.0565327025329,0.0,2.0,4,63775.91125042427,340464.0262495757
3,137260.875,615.0,241.32976383963955,1.0,2.0,4,21862.979609259157,115397.89539074084
4,421600.625,1921.0,760.3014049047658,0.0,3.0,4,68290.70541363714,353309.91958636284
5,225381.484375,1158.0,480.88181351963806,0.0,4.0,4,41166.390874019686,184215.09350098032
0,649725.6875,2632.0,807.5205794836273,4.0,0.0,6,96015.53238330265,553710.1551166973
1,260327.3125,1099.0,443.1336568281091,6.0,1.0,6,40091.59197919818,220235.7205208018
