,0
0,2186.3002052449433
1,2145.082150642838
2,1302.9741547098577
3,2786.2232149097736
4,1796.6376639626646
5,1867.9695823662632
6,1808.0328263721271
7,2934.1060723695477
8,1277.3260875493338
9,2318.399218137125
10,3033.4497361785943
11,1972.7237067102533
12,2431.753491305928
13,2554.547694052335
14,1120.849791931578
15,2259.80105092435
16,2634.9301321825164
17,2503.4196043587153
18,2233.3671038261386
19,2206.2101674087953
20,1688.3439947359411
21,2320.556721130395
22,2306.790655478575
23,1856.714675287967
24,1564.2724785909095
25,2424.5992265819377
26,2544.124138009549
27,1946.0318266951913
28,3064.6702981043154
29,1665.6693951202637
30,1797.6532131527727
31,1759.2402442739776
32,4442.043312702972
33,3502.3196634491214
34,3905.767316502194
35,1988.7305476755541
36,2192.7871146985667
37,5895.855673427837
38,1910.835920327343
39,1752.9151275234392
40,3088.7753881952003
41,2944.668377480356
42,3333.583377365748
43,1896.7545903981143
44,3296.225739132966
45,1783.691101258225
46,3717.6926274203724
47,1296.6026229418223
48,1532.6510754259125
49,2186.127092800981
50,1559.042743484637
51,2199.968741842269
52,1724.196616587061
53,2293.3057667970993
54,1919.3041494792312
55,1575.3783619587182
56,2859.455984822635
57,3011.9051436911627
58,815.8659266928755
59,933.3545552541705
60,676.2584319779019
61,872.1068533233309
62,2443.058865394999
63,1104.3387004953936
64,897.6584031948742
65,724.2496702414619
66,988.6368345599822
67,700.3494837781166
68,596.1893434450271
69,3185.149349260513
70,2406.738980962575
71,4097.664731157535
72,3115.1658940399684
73,2687.241427393973
74,2998.343594396407
75,8770.490039215232
76,2907.5030753610918
77,5215.431187548379
78,3230.0583259671603
79,1858.587066008255
80,2461.103863202463
81,1873.9207691280926
82,3332.563114294235
83,3476.9003618497104
84,2277.4560093667
85,5185.959718049979
86,2053.771426348574
87,2520.700096632882
