Distance_(microns),Gray_Value
0.00000,35.457
0.04000,42.260
0.08000,57.681
0.12000,57.115
0.16000,36.786
0.20000,32.729
0.24000,42.442
0.28000,38.363
0.32000,38.958
0.36000,53.184
0.40000,54.651
0.44000,44.333
0.48000,33.206
0.52000,43.836
0.56000,45.106
0.60000,33.811
0.64000,46.006
0.68000,63.997
0.72000,57.126
0.76000,89.462
0.80000,172.110
0.84000,197.325
0.88000,136.983
0.92000,85.948
0.96000,59.728
1.00000,64.796
1.04000,52.854
1.08000,32.374
1.12000,27.972
1.16000,28.208
1.20000,32.786
1.24000,32.707
1.28000,39.208
1.32000,38.026
1.36000,27.444
1.40000,18.389
1.44000,19.884
1.48000,30.005
1.52000,35.575
1.56000,32.034
1.60000,29.956
1.64000,27.977
1.68000,26.308
1.72000,31.407
1.76000,31.468
1.80000,36.963
1.84000,42.453
1.88000,31.354
1.92000,20.792
1.96000,29.274
2.00000,42.699
2.04000,45.602
2.08000,36.777
2.12000,24.650
2.16000,23.154
2.20000,32.700
2.24000,40.902
2.28000,37.877
2.32000,23.431
2.36000,20.118
2.40000,31.860
2.44000,37.176
2.48000,44.075
2.52000,52.443
2.56000,40.997
2.60000,27.319
2.64000,25.684
2.68000,30.860
2.72000,39.174
2.76000,49.741
2.80000,60.348
2.84000,57.084
2.88000,70.530
2.92000,96.417
2.96000,142.833
3.00000,208.800
3.04000,199.638
3.08000,123.025
3.12000,78.362
3.16000,65.455
3.20000,48.470
3.24000,25.175
3.28000,39.907
3.32000,53.430
3.36000,33.954
3.40000,29.355
3.44000,26.498
3.48000,24.720
3.52000,41.053
3.56000,47.222
3.60000,32.543
3.64000,37.349
3.68000,40.904
3.72000,35.070
