Distance_(microns),Gray_Value
0.00000,172.653
0.04000,162.158
0.08000,187.878
0.12000,224.162
0.16000,228.259
0.20000,200.125
0.24000,183.604
0.28000,199.062
0.32000,209.654
0.36000,186.657
0.40000,168.297
0.44000,197.905
0.48000,240.860
0.52000,234.550
0.56000,189.895
0.60000,166.176
0.64000,173.318
0.68000,178.844
0.72000,186.188
0.76000,223.906
0.80000,272.217
0.84000,274.375
0.88000,217.366
0.92000,148.484
0.96000,116.748
1.00000,132.090
1.04000,170.268
1.08000,194.427
1.12000,184.978
1.16000,158.071
1.20000,140.900
1.24000,137.091
1.28000,137.721
1.32000,146.035
1.36000,161.570
1.40000,164.304
1.44000,146.274
1.48000,132.485
1.52000,141.704
1.56000,155.918
1.60000,153.975
1.64000,144.003
1.68000,140.347
1.72000,139.999
1.76000,140.200
1.80000,148.243
1.84000,159.475
1.88000,156.587
1.92000,142.279
1.96000,141.790
2.00000,162.150
2.04000,177.544
2.08000,166.847
2.12000,143.390
2.16000,135.717
2.20000,150.193
2.24000,161.945
2.28000,146.685
2.32000,119.626
2.36000,122.904
2.40000,163.505
2.44000,194.150
2.48000,178.118
2.52000,138.491
2.56000,117.139
2.60000,123.139
2.64000,146.770
2.68000,181.719
2.72000,207.947
2.76000,194.599
2.80000,147.093
2.84000,119.790
2.88000,156.428
2.92000,231.859
2.96000,272.170
3.00000,238.027
3.04000,175.700
3.08000,160.259
3.12000,195.716
3.16000,218.594
3.20000,199.775
3.24000,176.836
3.28000,177.157
3.32000,183.443
3.36000,187.200
3.40000,201.038
3.44000,210.819
3.48000,189.730
3.52000,158.552
3.56000,160.757
3.60000,188.010
3.64000,196.090
3.68000,177.383
3.72000,161.080
