LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID30528,30528,0,12.705647468566895,12.34624837792768,31.786918682389697,0.0,0.4905562475323677,10,0.75,1,,574.4864864864865,565.0,485.0,767.0,21256.0,57.093306487237584,29187.054054054053,29590.0,24699.0,32158.0,1079921.0,1564.3944860897802,0.012726284442157917,0.252891458767361,0.0248331486857759,0.9041752313364825
ID30721,30721,0,13.013360977172852,13.097311693600385,30.495804303974193,0.0,0.5886674970388412,12,0.75,1,,571.7567567567568,559.0,496.0,648.0,21155.0,42.05776807981916,29390.702702702703,29664.0,25004.0,32269.0,1087456.0,2176.776373764972,0.013824821086959082,0.37075898056933393,0.025443079150616617,0.6700145917834213
ID30163,30163,0,21.031476974487305,12.266456262662729,29.90086027664729,0.0,0.5396118722856045,11,0.75,1,,614.4054054054054,607.0,520.0,773.0,22733.0,53.939502870994005,30622.567567567567,31143.0,27684.0,33244.0,1133035.0,1417.5838313549289,0.03761808385580364,0.8259185532574258,0.013659716311533262,0.5822001840827479
ID30532,30532,0,14.301432609558105,12.785698601388527,30.20749206630692,0.0,0.39244499802589417,8,0.75,1,,589.1351351351351,584.0,500.0,710.0,21798.0,51.55695995809024,30056.0,30275.0,26564.0,32269.0,1112072.0,1656.8778872727264,0.0181550668663461,0.40751307199287695,0.02605441972551334,0.9212588768693063
ID30808,30808,0,16.837413787841797,14.459245638217416,31.170722395684873,0.0,0.637723121792078,13,0.75,1,,586.3513513513514,582.0,506.0,692.0,21695.0,49.77963451063108,24362.594594594593,24234.0,22115.0,28161.0,901416.0,1163.8968658839212,0.021487741744168586,0.49555725521429417,-0.024648755622530858,-1.0579691207706658
ID30204,30204,0,17.80023193359375,12.320687441204058,31.762726471772257,0.0,0.44150062277913094,9,0.75,1,,603.5945945945946,600.0,515.0,773.0,22333.0,53.129537432089016,29187.054054054053,29590.0,24699.0,32158.0,1079921.0,1564.3944860897802,0.03536074197602019,0.7760129670225295,0.0248331486857759,0.9041752313364825
ID30462,30462,0,13.699267387390137,12.40669885923051,30.04500871088099,0.0,0.3433893732726574,7,0.75,1,,601.5135135135135,598.0,509.0,708.0,22256.0,45.967151086172166,30241.027027027027,30275.0,27264.0,32269.0,1118918.0,1510.8863198372906,0.02334693227901896,0.5970830293518489,0.017423584720655146,0.6855362961747862
