LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID809469,809469,1,31.70142364501953,20.00505494827717,31.946145550219597,0.0,0.048167988657951355,1,0.75,1,,644.918918918919,629.0,522.0,943.0,23862.0,89.90160620811399,17501.54054054054,17646.0,15605.0,18904.0,647557.0,791.5600136788463,,,0.05281672663312622,0.7197577794949386,0.017898680551996782,0.7775689183147407
ID809390,809390,1,16.232271194458008,20.204230683417244,32.0528108314505,0.0,0.19267195463180542,4,0.75,1,,588.0,587.0,480.0,673.0,21756.0,42.58325179379016,17121.486486486487,17269.0,15080.0,18405.0,633495.0,958.342336816304,,,0.026462220207971433,0.7119537943959661,0.00942987216203054,0.33379547198450765
ID809278,809278,1,12.911346435546875,20.378796637193542,31.885603656264315,0.0,0.28900793194770813,6,0.75,1,,576.1891891891892,569.0,495.0,750.0,21319.0,53.429516310867086,17435.756756756757,17625.0,15605.0,18904.0,645123.0,830.8756895056032,,,0.021823909979712584,0.460649240563313,0.01261319573575826,0.5227767901669927
ID809359,809359,1,29.897977828979492,20.353739468152863,31.79490796271243,0.0,0.24083994328975677,5,0.75,1,,615.918918918919,603.0,496.0,945.0,22789.0,89.00573588831801,17435.756756756757,17625.0,15605.0,18904.0,645123.0,830.8756895056032,,,0.04560402278921738,0.6036308861490222,0.01261319573575826,0.5227767901669927
ID809339,809339,1,17.839323043823242,20.322012296577586,31.419249370355118,0.0,0.14450396597385406,3,0.75,1,,600.3513513513514,585.0,509.0,738.0,22213.0,55.11312417615659,17715.54054054054,17748.0,15605.0,18904.0,655475.0,701.7900364462687,,,0.03285792208024463,0.6930745764913546,0.026939139001646413,1.3243909694143239
ID809419,809419,1,30.994503021240234,19.880170827019025,31.860426795465084,0.0,0.4335118979215622,9,0.75,1,,626.1891891891892,614.0,531.0,828.0,23169.0,57.41894665905528,17473.108108108107,17640.0,15605.0,18911.0,646505.0,806.0881804459452,,,0.05974285058976709,1.229605467109632,0.023343141640365092,0.9889074036609357
ID809509,809509,1,23.663923263549805,19.862464314645408,31.850833658505216,0.0,0.48167988657951355,10,0.75,1,,596.1351351351351,582.0,502.0,792.0,22057.0,68.76294308959109,17473.108108108107,17640.0,15605.0,18911.0,646505.0,806.0881804459452,,,0.0398863795541222,0.6650571794419229,0.023343141640365092,0.9889074036609357
