LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Probability stuck,Probability diffusive
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,P stuck,P diffusive
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID58112,58112,0,20.528438568115234,23.43650630483974,22.96868943008283,0.0,0.0,0,0.75,1,,595.2702702702703,593.0,502.0,704.0,22025.0,52.816584437007954,22435.64864864865,21785.0,18478.0,28424.0,830119.0,2679.2117022261127,0.028287559588020667,0.620090069248994,0.026888220375922835,0.4385311837962117,,
ID58272,58272,0,24.91841697692871,24.16064919056071,22.98940207381323,0.0,0.8264117017388344,17,0.75,1,,608.2162162162163,591.0,484.0,802.0,22504.0,70.59986431177359,22235.37837837838,21747.0,18218.0,28424.0,822709.0,2233.653053624032,0.036920662642889075,0.6134908400262616,0.03085880573297919,0.5959896705754119,,
ID57953,57953,0,21.721582412719727,23.98645900518879,22.69217721198329,0.0,0.5347369834780693,11,0.75,1,,580.7567567567568,584.0,489.0,714.0,21488.0,53.34187713097334,23120.054054054053,22590.0,19470.0,28424.0,855442.0,2291.2834218444514,0.0336782933303237,0.7094481344437211,0.05790406685695457,1.104594327052434,,
ID58595,58595,0,16.682193756103516,24.110830179527504,22.654702115527694,0.0,0.5833494365215302,12,0.75,1,,575.1351351351351,568.0,503.0,683.0,21280.0,46.34781677835667,23120.054054054053,22590.0,19470.0,28424.0,855442.0,2291.2834218444514,0.029687400040710698,0.7155457062320156,0.05790406685695457,1.104594327052434,,
ID57992,57992,0,19.671375274658203,23.74809134510662,22.92696197951322,0.0,0.3402871713042259,7,0.75,1,,596.6756756756756,582.0,489.0,778.0,22077.0,77.55036143409365,22545.945945945947,21785.0,18218.0,28424.0,834200.0,2647.59819822027,0.032351471286813004,0.4822263730338796,0.03620368978201763,0.5950508511410808,,
ID58312,58312,0,27.507665634155273,24.041302053302346,23.227884034964482,0.0,0.6805743426084518,14,0.75,1,,619.2972972972973,599.0,504.0,811.0,22914.0,69.10895779888486,21521.756756756757,21251.0,16851.0,28424.0,796305.0,2442.9074822774123,0.03871305474277093,0.6679695857521211,0.006258413625987377,0.1095860902534491,,
ID58634,58634,0,22.83688735961914,24.09154024215806,23.032812855997765,0.0,0.7777992486953735,16,0.75,1,,592.9459459459459,579.0,491.0,836.0,21939.0,71.11451873404457,22504.91891891892,21791.0,18218.0,28424.0,832682.0,2470.738906328073,0.032795990228150135,0.5295329994190999,0.03627786258535351,0.6377435353598391,,
